,drug,cell_line,IC50
120,Nutlin-3a (-),HL60,3.685447
121,OF-1,HL60,0.928478
122,OSI-027,HL60,3.820561
123,OTX015,HL60,-0.554517
124,Obatoclax Mesylate,HL60,0.645424
125,Olaparib,HL60,3.475814
126,Osimertinib,HL60,1.05863
127,Oxaliplatin,HL60,2.398582
128,P22077,HL60,1.495135
129,PCI-34051,HL60,4.391048
130,PD173074,HL60,4.208856
131,PFI-1,HL60,2.459947
132,PFI3,HL60,4.259533
133,PLX-4720,HL60,3.794436
134,POMHEX,HL60,1.407742
135,PRIMA-1MET,HL60,5.892109
136,PRT062607,HL60,2.149309
137,Paclitaxel,HL60,-4.906881
138,Palbociclib,HL60,2.306101
139,Pevonedistat,HL60,-1.459439
140,Picolinici-acid,HL60,4.740492
141,Pictilisib,HL60,1.262272
142,Pyridostatin,HL60,4.298902
143,RO-3306,HL60,4.847768
144,RVX-208,HL60,3.35364
145,Rapamycin,HL60,-1.398099
146,Refametinib,HL60,-1.167613
147,Remodelin,HL60,3.243689
148,Ribociclib,HL60,3.433514
149,Romidepsin,HL60,-6.094023
150,Ruxolitinib,HL60,3.372182
151,SB216763,HL60,3.882611
152,SB590885,HL60,3.906465
153,SCH772984,HL60,0.146872
154,SN-38,HL60,-5.868396
155,Sabutoclax,HL60,0.814406
156,Sapitinib,HL60,3.307865
157,Savolitinib,HL60,1.442681
158,Sepantronium bromide,HL60,-5.547198
159,Serdemetan,HL60,3.580526
160,Sinularin,HL60,3.352685
161,Sorafenib,HL60,0.645929
162,Staurosporine,HL60,-2.354547
163,Talazoparib,HL60,0.970772
164,Tanespimycin,HL60,-0.02127
165,Taselisib,HL60,1.075933
166,Telomerase Inhibitor IX,HL60,-0.174372
167,Temozolomide,HL60,5.287843
168,Temsirolimus,HL60,0.734264
169,Topotecan,HL60,-1.336943
170,Trametinib,HL60,-3.320319
171,UNC0379,HL60,4.588174
172,UNC0638,HL60,2.025077
173,Ulixertinib,HL60,1.306203
174,Uprosertib,HL60,3.358422
175,VE-822,HL60,3.054477
176,VE821,HL60,4.8754
177,VX-11e,HL60,2.050311
178,Venetoclax,HL60,-4.488296
179,Vinblastine,HL60,-6.310347
180,Vincristine,HL60,-4.649077
181,Vinorelbine,HL60,-4.581106
182,Vismodegib,HL60,3.578583
183,Vorinostat,HL60,0.205701
184,WEHI-539,HL60,3.762251
185,WIKI4,HL60,2.307919
186,WZ4003,HL60,3.666695
187,Wee1 Inhibitor,HL60,0.84796
188,Wnt-C59,HL60,3.23988
189,XAV939,HL60,4.349326
190,YK-4-279,HL60,0.316688
191,ZM447439,HL60,-0.106262
192,Zoledronate,HL60,3.148767
193,glutathione,HL60,8.188005
194,5-Fluorouracil,HEL,2.462663
195,ABT737,HEL,0.727914
196,AGI-5198,HEL,4.37324
197,AGI-6780,HEL,3.053522
198,AGK2,HEL,3.435404
199,AMG-319,HEL,4.372633
200,AT13148,HEL,2.924252
201,AZ6102,HEL,1.741545
202,AZ960,HEL,-0.45043
203,AZD1208,HEL,3.969908
204,AZD1332,HEL,3.827417
205,AZD2014,HEL,1.990833
206,AZD4547,HEL,2.660068
207,AZD5153,HEL,-1.579341
208,AZD5363,HEL,4.258594
209,AZD5438,HEL,1.373512
210,AZD5582,HEL,4.464754
211,AZD5991,HEL,4.373228
212,AZD6482,HEL,3.83721
213,AZD6738,HEL,-0.401548
214,AZD7762,HEL,-1.444233
215,AZD8186,HEL,4.372257
216,Acetalax,HEL,5.229914
217,Afuresertib,HEL,2.702003
218,Alisertib,HEL,2.270216
219,Alpelisib,HEL,3.426936
220,Avagacestat,HEL,4.044609
221,Axitinib,HEL,2.380458
222,BI-2536,HEL,-2.490341
223,BIBR-1532,HEL,4.341508
224,BMS-536924,HEL,1.081879
225,BMS-754807,HEL,2.841303
226,BX795,HEL,2.011093
227,Bicalutamide,HEL,4.373083
228,Bleomycin,HEL,2.162377
229,Bortezomib,HEL,-5.526198
230,Bosutinib,HEL,1.223188
231,Buparlisib,HEL,1.076224
232,CCT-018159,HEL,2.639738
233,CCT007093,HEL,3.671145
234,CHIR-99021,HEL,1.043535
235,CZC24832,HEL,4.457007
236,Camptothecin,HEL,-3.978419
237,Carmustine,HEL,4.675045
238,Cediranib,HEL,1.947726
239,Crizotinib,HEL,1.63062
240,Cyclophosphamide,HEL,4.371572
241,Dacarbazine,HEL,4.485565
242,Dactinomycin,HEL,-4.093321
243,Dactolisib,HEL,-2.54546
244,Daporinad,HEL,-5.692192
245,Dasatinib,HEL,2.165652
246,Dinaciclib,HEL,-3.721416
247,Docetaxel,HEL,-2.894219
248,Doramapimod,HEL,2.989417
249,EHT-1864,HEL,2.898275
250,EPZ004777,HEL,3.648165
251,EPZ5676,HEL,4.556531
252,Elephantin,HEL,2.249668
253,Elesclomol,HEL,-3.873658
254,Entinostat,HEL,0.481834
255,Entospletinib,HEL,2.510442
256,Epirubicin,HEL,-1.974206
257,Fludarabine,HEL,1.096348
258,Foretinib,HEL,2.901355
259,Fulvestrant,HEL,2.61263
260,GDC0810,HEL,4.373016
261,GNE-317,HEL,1.206981
262,GSK-LSD1,HEL,-1.014576
263,GSK1904529A,HEL,4.18719
264,GSK2110183B,HEL,3.164307
265,GSK2578215A,HEL,3.7717
266,GSK2606414,HEL,2.635478
267,GSK2801,HEL,4.201838
268,GSK343,HEL,1.867207
269,GSK591,HEL,2.624115
270,GW441756,HEL,2.751303
271,Gallibiscoquinazole,HEL,2.008598
272,Gefitinib,HEL,2.442367
273,Gemcitabine,HEL,-4.820891
274,I-BET-762,HEL,1.439985
275,I-BRD9,HEL,2.473141
276,IOX2,HEL,1.277448
277,IWP-2,HEL,2.290308
278,Ibrutinib,HEL,3.803914
279,Ipatasertib,HEL,3.972406
280,Irinotecan,HEL,1.118997
281,JQ1,HEL,-0.718532
282,KRAS (G12C) Inhibitor-12,HEL,3.869663
283,KU-55933,HEL,4.139366
284,LCL161,HEL,4.511036
285,LGK974,HEL,3.820743
286,LJI308,HEL,4.167601
287,LMP744,HEL,-2.995625
288,LY2109761,HEL,3.744833
289,Lapatinib,HEL,2.532252
290,Leflunomide,HEL,3.650549
291,Lenalidomide,HEL,4.367074
292,Lestaurtinib,HEL,-0.851305
293,Linsitinib,HEL,3.230307
294,Luminespib,HEL,-3.507849
295,MG-132,HEL,-1.846089
296,MIRA-1,HEL,3.277142
297,MK-1775,HEL,-1.025868
298,MK-2206,HEL,3.271386
299,MK-8776,HEL,0.553272
300,ML323,HEL,3.72267
301,MN-64,HEL,2.697512
302,Methotrexate,HEL,-2.372109
303,Mirin,HEL,3.667897
304,Mitoxantrone,HEL,-1.480227
305,Motesanib,HEL,4.093971
306,NVP-ADW742,HEL,3.816078
307,Navitoclax,HEL,-0.098989
308,Nelarabine,HEL,3.647548
309,Nilotinib,HEL,3.046639
310,Nutlin-3a (-),HEL,4.287108
311,OF-1,HEL,4.031677
312,OSI-027,HEL,1.843611
313,OTX015,HEL,-0.090018
314,Obatoclax Mesylate,HEL,1.18841
315,Olaparib,HEL,3.503609
316,Osimertinib,HEL,1.743062
317,Oxaliplatin,HEL,2.097369
318,P22077,HEL,1.974511
319,PCI-34051,HEL,2.604943
320,PD173074,HEL,2.836276
321,PF-4708671,HEL,2.541509
322,PFI-1,HEL,2.288104
323,PFI3,HEL,4.011434
324,PLX-4720,HEL,3.103018
325,PRIMA-1MET,HEL,2.840747
326,PRT062607,HEL,2.055156
327,Paclitaxel,HEL,-2.214539
328,Palbociclib,HEL,1.188299
329,Pevonedistat,HEL,-2.09157
330,Picolinici-acid,HEL,4.305891
331,Pictilisib,HEL,1.988692
332,Piperlongumine,HEL,1.168082
333,Pyridostatin,HEL,4.373158
334,RO-3306,HEL,1.500782
335,RVX-208,HEL,4.288528
336,Rapamycin,HEL,-1.231258
337,Refametinib,HEL,4.266376
338,Ribociclib,HEL,2.030058
339,Romidepsin,HEL,-5.02797
340,Ruxolitinib,HEL,1.434941
341,SB216763,HEL,2.228604
342,SB505124,HEL,3.876046
343,SB590885,HEL,3.544834
344,SCH772984,HEL,3.395692
345,SL0101,HEL,3.070563
346,SN-38,HEL,-4.767978
347,Sabutoclax,HEL,-1.540775
348,Sapitinib,HEL,3.910589
349,Savolitinib,HEL,1.108371
350,Sepantronium bromide,HEL,-1.83873
351,Serdemetan,HEL,2.50108
352,Sinularin,HEL,2.954225
353,Sorafenib,HEL,1.859532
354,Staurosporine,HEL,-3.532707
355,Talazoparib,HEL,0.547618
356,Tanespimycin,HEL,0.217353
357,Taselisib,HEL,4.241866
358,Telomerase Inhibitor IX,HEL,0.007884
359,Temozolomide,HEL,4.056126
360,Temsirolimus,HEL,0.472727
361,Topotecan,HEL,-1.103777
362,Tozasertib,HEL,1.441849
363,Trametinib,HEL,1.549934
364,Tretinoin,HEL,3.764337
365,Ulixertinib,HEL,3.630857
366,Uprosertib,HEL,3.792156
367,VE-822,HEL,-0.014849
368,VE821,HEL,0.905257
369,VX-11e,HEL,2.47524
370,Venetoclax,HEL,2.791771
371,Vincristine,HEL,-1.987847
372,Vinorelbine,HEL,-2.338475
373,Vismodegib,HEL,3.815731
374,Vorinostat,HEL,-0.043489
375,WEHI-539,HEL,0.162486
376,WIKI4,HEL,3.705608
377,WZ4003,HEL,3.187116
378,Wee1 Inhibitor,HEL,0.035601
379,Wnt-C59,HEL,3.354435
380,XAV939,HEL,3.142521
381,YK-4-279,HEL,2.033787
382,ZM447439,HEL,2.134254
383,Zoledronate,HEL,2.616975
384,5-Fluorouracil,MONOMAC6,0.072576
385,5-azacytidine,MONOMAC6,-0.026691
386,A-366,MONOMAC6,2.943793
387,ABT737,MONOMAC6,-0.383812
388,AGI-5198,MONOMAC6,3.6054
389,AGK2,MONOMAC6,1.891061
390,AMG-319,MONOMAC6,3.168427
391,AT13148,MONOMAC6,2.515083
392,AZ6102,MONOMAC6,1.096492
393,AZD4547,MONOMAC6,0.93736
394,AZD5363,MONOMAC6,0.668029
395,AZD6738,MONOMAC6,0.37761
396,AZD7762,MONOMAC6,-5.224524
397,AZD8055,MONOMAC6,-0.519294
398,AZD8186,MONOMAC6,0.329936
399,Afuresertib,MONOMAC6,-0.969202
400,Alisertib,MONOMAC6,1.402632
401,Alpelisib,MONOMAC6,3.08351
402,Avagacestat,MONOMAC6,3.139284
403,Axitinib,MONOMAC6,1.635504
404,BI-2536,MONOMAC6,-4.694406
405,BIBR-1532,MONOMAC6,3.771469
406,BMS-536924,MONOMAC6,-1.039763
407,BMS-754807,MONOMAC6,1.114902
408,Bleomycin (50 uM),MONOMAC6,4.258549
409,Bortezomib,MONOMAC6,-5.692622
410,Bosutinib,MONOMAC6,-0.189497
411,Buparlisib,MONOMAC6,-0.259172
412,CCT007093,MONOMAC6,4.779869
413,CPI-637,MONOMAC6,1.387387
414,Camptothecin,MONOMAC6,-3.878581
415,Cediranib,MONOMAC6,0.724321
416,Cisplatin,MONOMAC6,1.057342
417,Crizotinib,MONOMAC6,0.863304
418,Cyclophosphamide,MONOMAC6,4.761188
419,Cytarabine,MONOMAC6,1.6038
420,Dactinomycin,MONOMAC6,-5.551418
421,Dactolisib,MONOMAC6,-3.14532
422,Daporinad,MONOMAC6,-6.360406
423,Dasatinib,MONOMAC6,0.601436
424,Docetaxel,MONOMAC6,-5.362865
425,Doramapimod,MONOMAC6,3.319389
426,EHT-1864,MONOMAC6,2.119919
427,EPZ004777,MONOMAC6,3.643607
428,EPZ5676,MONOMAC6,3.383985
429,Epirubicin,MONOMAC6,-1.279449
430,Foretinib,MONOMAC6,-5.432385
431,Fulvestrant,MONOMAC6,1.171788
432,GDC0810,MONOMAC6,4.653824
433,GNE-317,MONOMAC6,-0.384044
434,GSK1904529A,MONOMAC6,3.361578
435,GSK2578215A,MONOMAC6,3.959929
436,GSK2830371,MONOMAC6,3.840053
437,GSK343,MONOMAC6,3.167461
438,GSK591,MONOMAC6,3.8941
439,GW441756,MONOMAC6,1.51788
440,Gefitinib,MONOMAC6,1.772904
441,Gemcitabine,MONOMAC6,-4.843396
442,I-BRD9,MONOMAC6,1.345108
443,ICL-SIRT078,MONOMAC6,2.162168
444,Ipatasertib,MONOMAC6,0.422304
445,Irinotecan,MONOMAC6,0.09869
446,JQ1,MONOMAC6,-1.728477
447,KU-55933,MONOMAC6,3.387302
448,LGK974,MONOMAC6,2.712634
449,LJI308,MONOMAC6,3.392309
450,Lapatinib,MONOMAC6,2.895672
451,Lenalidomide,MONOMAC6,3.754978
452,Lestaurtinib,MONOMAC6,-4.419524
453,Linsitinib,MONOMAC6,3.131902
454,Luminespib,MONOMAC6,-4.936914
455,MG-132,MONOMAC6,-2.050918
456,MIM1,MONOMAC6,3.957696
457,MIRA-1,MONOMAC6,3.90638
458,MK-1775,MONOMAC6,-1.030491
459,MK-2206,MONOMAC6,0.212378
460,MK-8776,MONOMAC6,-0.148302
461,Methotrexate,MONOMAC6,-4.703608
462,Motesanib,MONOMAC6,4.225031
463,Mycophenolic acid,MONOMAC6,1.003588
464,N-acetyl cysteine,MONOMAC6,9.400527
465,NVP-ADW742,MONOMAC6,0.556723
466,Navitoclax,MONOMAC6,1.415579
467,Nilotinib,MONOMAC6,1.801977
468,Nutlin-3a (-),MONOMAC6,4.336738
469,OSI-027,MONOMAC6,1.119575
470,Obatoclax Mesylate,MONOMAC6,-0.9275
471,Olaparib,MONOMAC6,3.170312
472,Osimertinib,MONOMAC6,0.550132
473,Oxaliplatin,MONOMAC6,1.637134
474,P22077,MONOMAC6,0.986203
475,PD173074,MONOMAC6,2.519559
476,PFI-1,MONOMAC6,1.465349
477,PLX-4720,MONOMAC6,0.4971
478,POMHEX,MONOMAC6,-0.161213
479,Paclitaxel,MONOMAC6,-5.82445
480,Palbociclib,MONOMAC6,1.859921
481,Pevonedistat,MONOMAC6,-4.033075
482,Pictilisib,MONOMAC6,-0.349823
483,Pyridostatin,MONOMAC6,2.796411
484,RO-3306,MONOMAC6,2.053315
485,Rapamycin,MONOMAC6,-3.108759
486,Refametinib,MONOMAC6,-0.360598
487,Ribociclib,MONOMAC6,3.069551
488,SB216763,MONOMAC6,4.602899
489,SB590885,MONOMAC6,4.086722
490,SCH772984,MONOMAC6,1.356441
491,SN-38,MONOMAC6,-5.062373
492,Sapitinib,MONOMAC6,3.48152
493,Savolitinib,MONOMAC6,0.797373
494,Sepantronium bromide,MONOMAC6,-4.214986
495,Serdemetan,MONOMAC6,1.89959
496,Sorafenib,MONOMAC6,-4.572455
497,Staurosporine,MONOMAC6,-5.909916
498,TW 37,MONOMAC6,0.312281
499,Talazoparib,MONOMAC6,0.707492
500,Tanespimycin,MONOMAC6,-1.510369
501,Taselisib,MONOMAC6,-0.266481
502,Telomerase Inhibitor IX,MONOMAC6,-0.722456
503,Temozolomide,MONOMAC6,3.176285
504,Temsirolimus,MONOMAC6,-0.181792
505,Trametinib,MONOMAC6,-1.376072
506,UNC0379,MONOMAC6,1.334856
507,UNC0638,MONOMAC6,1.883743
508,Ulixertinib,MONOMAC6,1.703154
509,Uprosertib,MONOMAC6,1.111944
510,VE821,MONOMAC6,2.003538
511,VX-11e,MONOMAC6,1.284252
512,Venetoclax,MONOMAC6,0.578429
513,Vinblastine,MONOMAC6,-6.359207
514,Vinorelbine,MONOMAC6,-4.617505
515,Vismodegib,MONOMAC6,4.084193
516,Vorinostat,MONOMAC6,0.087911
517,WEHI-539,MONOMAC6,2.517096
518,WIKI4,MONOMAC6,4.778531
519,Wee1 Inhibitor,MONOMAC6,-0.52499
520,YK-4-279,MONOMAC6,0.335603
521,ZM447439,MONOMAC6,0.962118
522,glutathione,MONOMAC6,8.923178
523,5-Fluorouracil,LS513,1.742438
524,5-azacytidine,LS513,3.380988
525,A-366,LS513,3.638545
526,AGI-6780,LS513,4.47839
527,AGK2,LS513,2.611247
528,AT13148,LS513,4.4434
529,AZ6102,LS513,0.798365
530,AZ960,LS513,2.629074
531,AZD1208,LS513,3.668332
532,AZD1332,LS513,4.486385
533,AZD2014,LS513,1.281718
534,AZD4547,LS513,3.99813
535,AZD5153,LS513,2.064885
536,AZD5438,LS513,0.993794
537,AZD5582,LS513,4.829677
538,AZD5991,LS513,6.149584
539,AZD7762,LS513,0.715533
540,AZD8055,LS513,-0.138152
541,Acetalax,LS513,5.590222
542,Alisertib,LS513,0.25052
543,Alpelisib,LS513,3.180765
544,Avagacestat,LS513,4.887107
545,Axitinib,LS513,2.513083
546,BI-2536,LS513,-0.877715
547,BMS-754807,LS513,-1.114806
548,Bleomycin,LS513,2.038504
549,Bleomycin (50 uM),LS513,1.510962
550,Bosutinib,LS513,3.329184
551,CCT007093,LS513,5.698212
552,CPI-637,LS513,5.611521
553,CZC24832,LS513,4.956259
554,Camptothecin,LS513,-3.160246
555,Carmustine,LS513,6.951097
556,Cisplatin,LS513,2.919147
557,Crizotinib,LS513,1.277685
558,Dacarbazine,LS513,6.567301
559,Dactinomycin,LS513,-3.760591
560,Daporinad,LS513,-3.855835
561,Dasatinib,LS513,2.264065
562,Dinaciclib,LS513,-2.886744
563,Docetaxel,LS513,-3.711243
564,Doramapimod,LS513,5.35352
565,EHT-1864,LS513,3.170517
566,EPZ004777,LS513,5.859496
567,EPZ5676,LS513,5.133465
568,Elephantin,LS513,1.96435
569,Entinostat,LS513,1.350856
570,Entospletinib,LS513,4.500123
571,Fludarabine,LS513,3.534461
572,Fulvestrant,LS513,6.0177
573,GSK-LSD1,LS513,1.683692
574,GSK1904529A,LS513,4.405936
575,GSK2110183B,LS513,1.405565
576,GSK2606414,LS513,3.552131
577,GSK2801,LS513,5.172107
578,GSK2830371,LS513,5.658243
579,GSK343,LS513,3.158856
580,GSK591,LS513,4.441317
581,GW441756,LS513,3.981601
582,Gallibiscoquinazole,LS513,3.494294
583,Gemcitabine,LS513,-3.243612
584,I-BET-762,LS513,3.169127
585,IWP-2,LS513,3.441628
586,Ibrutinib,LS513,4.813731
587,Irinotecan,LS513,1.813011
588,JQ1,LS513,1.464482
589,KRAS (G12C) Inhibitor-12,LS513,4.124174
590,KU-55933,LS513,5.775309
591,LCL161,LS513,5.528602
592,LGK974,LS513,4.447995
593,LJI308,LS513,4.729262
594,LMP744,LS513,-0.66299
595,LY2109761,LS513,4.92314
596,Lapatinib,LS513,1.37076
597,Leflunomide,LS513,5.065966
598,Lenalidomide,LS513,5.504545
599,Lestaurtinib,LS513,0.024441
600,Linsitinib,LS513,1.593206
601,Luminespib,LS513,-3.726129
602,MG-132,LS513,-1.429434
603,MIRA-1,LS513,4.312625
604,MK-1775,LS513,-0.595952
605,MK-2206,LS513,0.824578
606,ML323,LS513,4.24133
607,MN-64,LS513,5.071992
608,Methotrexate,LS513,-0.864728
609,Mirin,LS513,4.089461
610,Mitoxantrone,LS513,0.384495
611,Motesanib,LS513,5.775309
612,Mycophenolic acid,LS513,0.645459
613,N-acetyl cysteine,LS513,8.988045
614,Navitoclax,LS513,2.150489
615,Nelarabine,LS513,6.796692
616,Nutlin-3a (-),LS513,1.406242
617,OF-1,LS513,4.4166
618,OSI-027,LS513,4.801549
619,OTX015,LS513,2.015937
620,Obatoclax Mesylate,LS513,0.521782
621,Olaparib,LS513,3.813458
622,Oxaliplatin,LS513,1.776041
623,PCI-34051,LS513,3.487065
624,PD173074,LS513,3.514301
625,PFI-1,LS513,4.402877
626,PFI3,LS513,5.737934
627,PLX-4720,LS513,5.060211
628,POMHEX,LS513,0.590036
629,PRIMA-1MET,LS513,3.392785
630,PRT062607,LS513,2.476106
631,Palbociclib,LS513,1.209893
632,Picolinici-acid,LS513,4.748499
633,Pictilisib,LS513,0.296864
634,RO-3306,LS513,2.570261
635,RVX-208,LS513,5.333803
636,Rapamycin,LS513,-1.05794
637,Refametinib,LS513,-1.83118
638,Ribociclib,LS513,1.62957
639,Romidepsin,LS513,-4.322347
640,Ruxolitinib,LS513,5.222221
641,SB216763,LS513,3.048123
642,SB505124,LS513,1.328481
643,SB590885,LS513,3.307989
644,SCH772984,LS513,0.024482
645,SN-38,LS513,-4.489221
646,Sabutoclax,LS513,-0.200939
647,Sapitinib,LS513,1.634124
648,Serdemetan,LS513,3.282957
649,Sinularin,LS513,2.589297
650,Staurosporine,LS513,-2.235196
651,TW 37,LS513,4.467028
652,Tanespimycin,LS513,-1.886624
653,Taselisib,LS513,0.327674
654,Temozolomide,LS513,7.248506
655,Temsirolimus,LS513,0.224156
656,Topotecan,LS513,0.179324
657,Trametinib,LS513,-5.07196
658,UNC0379,LS513,2.50628
659,UNC0638,LS513,4.474052
660,Uprosertib,LS513,1.288134
661,VE-822,LS513,1.942905
662,VE821,LS513,2.798011
663,VX-11e,LS513,-0.154789
664,Vincristine,LS513,-1.685101
665,Vinorelbine,LS513,-3.521728
666,Vismodegib,LS513,4.616114
667,WEHI-539,LS513,3.719036
668,WZ4003,LS513,3.224961
669,Wnt-C59,LS513,5.417568
670,XAV939,LS513,4.566113
671,ZM447439,LS513,1.744665
672,Zoledronate,LS513,4.536145
673,glutathione,LS513,8.468905
674,5-Fluorouracil,A101D,3.945825
675,5-azacytidine,A101D,1.198543
676,A-366,A101D,5.475173
677,ABT737,A101D,0.474327
678,AGI-5198,A101D,5.528712
679,AGI-6780,A101D,4.501571
680,AGK2,A101D,4.176421
681,AMG-319,A101D,3.48855
682,AT13148,A101D,3.01253
683,AZ6102,A101D,1.301374
684,AZ960,A101D,1.863709
685,AZD1208,A101D,4.76108
686,AZD1332,A101D,3.201106
687,AZD2014,A101D,0.632457
688,AZD4547,A101D,3.315949
689,AZD5153,A101D,0.408255
690,AZD5363,A101D,1.810588
691,AZD5438,A101D,1.296108
692,AZD5582,A101D,-4.857478
693,AZD5991,A101D,4.140862
694,AZD6738,A101D,1.003643
695,AZD7762,A101D,0.300596
696,AZD8055,A101D,-1.27046
697,AZD8186,A101D,1.907486
698,Acetalax,A101D,7.083142
699,Afuresertib,A101D,2.311981
700,Alisertib,A101D,1.283772
701,Alpelisib,A101D,4.226877
702,Avagacestat,A101D,4.064976
703,Axitinib,A101D,4.658258
704,BI-2536,A101D,-1.946281
705,BIBR-1532,A101D,4.784777
706,BMS-536924,A101D,3.229974
707,BMS-754807,A101D,2.67881
708,Bleomycin,A101D,2.168683
709,Bleomycin (50 uM),A101D,2.454798
710,Bortezomib,A101D,-6.884155
711,Bosutinib,A101D,3.215838
712,Buparlisib,A101D,0.294596
713,CCT007093,A101D,5.350212
714,CPI-637,A101D,4.177282
715,CZC24832,A101D,4.688979
716,Camptothecin,A101D,-2.762168
717,Carmustine,A101D,6.005621
718,Cediranib,A101D,2.154311
719,Cisplatin,A101D,1.37653
720,Crizotinib,A101D,2.45638
721,Cyclophosphamide,A101D,5.782912
722,Cytarabine,A101D,0.560338
723,Dacarbazine,A101D,6.538847
724,Dactinomycin,A101D,-4.545826
725,Dactolisib,A101D,-3.345471
726,Dasatinib,A101D,1.832577
727,Dinaciclib,A101D,-3.298414
728,Docetaxel,A101D,-4.384575
729,Doramapimod,A101D,5.856646
730,EHT-1864,A101D,4.342398
731,EPZ004777,A101D,4.620337
732,EPZ5676,A101D,5.599818
733,Elephantin,A101D,2.476098
734,Entinostat,A101D,1.364011
735,Entospletinib,A101D,3.068
736,Epirubicin,A101D,-2.126764
737,Fludarabine,A101D,4.887141
738,Foretinib,A101D,0.441549
739,Fulvestrant,A101D,4.57441
740,GDC0810,A101D,5.780097
741,GNE-317,A101D,-0.016563
742,GSK-LSD1,A101D,3.602105
