,drug,cell_line,IC50
120,Osimertinib,HL60,1.05863
121,Oxaliplatin,HL60,2.398582
122,P22077,HL60,1.495135
123,PCI-34051,HL60,4.391048
124,PD0325901,HL60,-3.501066
125,PD173074,HL60,4.208856
126,PFI-1,HL60,2.459947
127,PFI3,HL60,4.259533
128,PLX-4720,HL60,3.794436
129,POMHEX,HL60,1.407742
130,PRIMA-1MET,HL60,5.892109
131,PRT062607,HL60,2.149309
132,Paclitaxel,HL60,-4.906881
133,Palbociclib,HL60,2.306101
134,Pevonedistat,HL60,-1.459439
135,Pictilisib,HL60,1.262272
136,Podophyllotoxin bromide,HL60,-1.674663
137,Pyridostatin,HL60,4.298902
138,RVX-208,HL60,3.35364
139,Rapamycin,HL60,-1.398099
140,Refametinib,HL60,-1.167613
141,Remodelin,HL60,3.243689
142,Ribociclib,HL60,3.433514
143,Rucaparib,HL60,3.78804
144,Ruxolitinib,HL60,3.372182
145,SB216763,HL60,3.882611
146,SCH772984,HL60,0.146872
147,SGC-CBP30,HL60,3.667655
148,SGC0946,HL60,1.874233
149,SN-38,HL60,-5.868396
150,Sabutoclax,HL60,0.814406
151,Sapitinib,HL60,3.307865
152,Savolitinib,HL60,1.442681
153,Schweinfurthin A,HL60,-1.71815
154,Selumetinib,HL60,0.441364
155,Sepantronium bromide,HL60,-5.547198
156,Serdemetan,HL60,3.580526
157,Sinularin,HL60,3.352685
158,Sorafenib,HL60,0.645929
159,Staurosporine,HL60,-2.354547
160,Talazoparib,HL60,0.970772
161,Tamoxifen,HL60,2.773471
162,Tanespimycin,HL60,-0.02127
163,Taselisib,HL60,1.075933
164,Telomerase Inhibitor IX,HL60,-0.174372
165,Temozolomide,HL60,5.287843
166,Temsirolimus,HL60,0.734264
167,Teniposide,HL60,-1.596655
168,Topotecan,HL60,-1.336943
169,Trametinib,HL60,-3.320319
170,UMI-77,HL60,1.435243
171,UNC0379,HL60,4.588174
172,UNC0638,HL60,2.025077
173,Ulixertinib,HL60,1.306203
174,Uprosertib,HL60,3.358422
175,VE-822,HL60,3.054477
176,VE821,HL60,4.8754
177,VX-11e,HL60,2.050311
178,Veliparib,HL60,4.110177
179,Vinblastine,HL60,-6.310347
180,Vincristine,HL60,-4.649077
181,Vinorelbine,HL60,-4.581106
182,Vismodegib,HL60,3.578583
183,Vorinostat,HL60,0.205701
184,WEHI-539,HL60,3.762251
185,WIKI4,HL60,2.307919
186,WZ4003,HL60,3.666695
187,Wee1 Inhibitor,HL60,0.84796
188,Wnt-C59,HL60,3.23988
189,XAV939,HL60,4.349326
190,YK-4-279,HL60,0.316688
191,ZM447439,HL60,-0.106262
192,Zoledronate,HL60,3.148767
193,alpha-lipoic acid,HL60,5.007582
194,glutathione,HL60,8.188005
195,5-Fluorouracil,HEL,2.462663
196,ABT737,HEL,0.727914
197,AGI-6780,HEL,3.053522
198,AGK2,HEL,3.435404
199,AT13148,HEL,2.924252
200,AZ6102,HEL,1.741545
201,AZ960,HEL,-0.45043
202,AZD1208,HEL,3.969908
203,AZD1332,HEL,3.827417
204,AZD2014,HEL,1.990833
205,AZD3759,HEL,1.690591
206,AZD4547,HEL,2.660068
207,AZD5153,HEL,-1.579341
208,AZD5363,HEL,4.258594
209,AZD5438,HEL,1.373512
210,AZD5582,HEL,4.464754
211,AZD5991,HEL,4.373228
212,AZD6482,HEL,3.83721
213,AZD6738,HEL,-0.401548
214,AZD7762,HEL,-1.444233
215,AZD8186,HEL,4.372257
216,Acetalax,HEL,5.229914
217,Afatinib,HEL,1.830878
218,Afuresertib,HEL,2.702003
219,Alisertib,HEL,2.270216
220,Alpelisib,HEL,3.426936
221,Avagacestat,HEL,4.044609
222,BI-2536,HEL,-2.490341
223,BIBR-1532,HEL,4.341508
224,BMS-345541,HEL,1.703818
225,BMS-536924,HEL,1.081879
226,BMS-754807,HEL,2.841303
227,BX795,HEL,2.011093
228,Bicalutamide,HEL,4.373083
229,Bleomycin,HEL,2.162377
230,Bortezomib,HEL,-5.526198
231,Bosutinib,HEL,1.223188
232,Bromosporine,HEL,1.232807
233,CCT-018159,HEL,2.639738
234,CCT007093,HEL,3.671145
235,CHIR-99021,HEL,1.043535
236,CZC24832,HEL,4.457007
237,Camptothecin,HEL,-3.978419
238,Carmustine,HEL,4.675045
239,Cediranib,HEL,1.947726
240,Cyclophosphamide,HEL,4.371572
241,Dabrafenib,HEL,3.765882
242,Dacarbazine,HEL,4.485565
243,Dactinomycin,HEL,-4.093321
244,Dactolisib,HEL,-2.54546
245,Daporinad,HEL,-5.692192
246,Dasatinib,HEL,2.165652
247,Dihydrorotenone,HEL,2.003986
248,Dinaciclib,HEL,-3.721416
249,Docetaxel,HEL,-2.894219
250,Doramapimod,HEL,2.989417
251,EHT-1864,HEL,2.898275
252,EPZ004777,HEL,3.648165
253,EPZ5676,HEL,4.556531
254,Elephantin,HEL,2.249668
255,Elesclomol,HEL,-3.873658
256,Entospletinib,HEL,2.510442
257,Epirubicin,HEL,-1.974206
258,Erlotinib,HEL,2.832938
259,Fludarabine,HEL,1.096348
260,Foretinib,HEL,2.901355
261,Fulvestrant,HEL,2.61263
262,GDC0810,HEL,4.373016
263,GSK-LSD1,HEL,-1.014576
264,GSK1904529A,HEL,4.18719
265,GSK2110183B,HEL,3.164307
266,GSK2578215A,HEL,3.7717
267,GSK269962A,HEL,2.759768
268,GSK2801,HEL,4.201838
269,GSK343,HEL,1.867207
270,GSK591,HEL,2.624115
271,GW441756,HEL,2.751303
272,Gefitinib,HEL,2.442367
273,I-BRD9,HEL,2.473141
274,IOX2,HEL,1.277448
275,IWP-2,HEL,2.290308
276,Ibrutinib,HEL,3.803914
277,Ipatasertib,HEL,3.972406
278,Irinotecan,HEL,1.118997
279,JNK Inhibitor VIII,HEL,3.199606
280,JQ1,HEL,-0.718532
281,KRAS (G12C) Inhibitor-12,HEL,3.869663
282,KU-55933,HEL,4.139366
283,L-Oxonoreleagnine,HEL,1.962914
284,LCL161,HEL,4.511036
285,LGK974,HEL,3.820743
286,LJI308,HEL,4.167601
287,LMP744,HEL,-2.995625
288,LY2109761,HEL,3.744833
289,Lapatinib,HEL,2.532252
290,Leflunomide,HEL,3.650549
291,Lenalidomide,HEL,4.367074
292,Lestaurtinib,HEL,-0.851305
293,Linsitinib,HEL,3.230307
294,Luminespib,HEL,-3.507849
295,MG-132,HEL,-1.846089
296,MIRA-1,HEL,3.277142
297,MK-1775,HEL,-1.025868
298,MK-2206,HEL,3.271386
299,MK-8776,HEL,0.553272
300,ML323,HEL,3.72267
301,MN-64,HEL,2.697512
302,Methotrexate,HEL,-2.372109
303,Mirin,HEL,3.667897
304,Mitoxantrone,HEL,-1.480227
305,Motesanib,HEL,4.093971
306,NU7441,HEL,1.688381
307,NVP-ADW742,HEL,3.816078
308,Navitoclax,HEL,-0.098989
309,Niraparib,HEL,1.954565
310,OF-1,HEL,4.031677
311,OTX015,HEL,-0.090018
312,Olaparib,HEL,3.503609
313,Osimertinib,HEL,1.743062
314,Oxaliplatin,HEL,2.097369
315,P22077,HEL,1.974511
316,PCI-34051,HEL,2.604943
317,PD0325901,HEL,2.94561
318,PD173074,HEL,2.836276
319,PF-4708671,HEL,2.541509
320,PFI-1,HEL,2.288104
321,PFI3,HEL,4.011434
322,PLX-4720,HEL,3.103018
323,PRIMA-1MET,HEL,2.840747
324,PRT062607,HEL,2.055156
325,Paclitaxel,HEL,-2.214539
326,Palbociclib,HEL,1.188299
327,Pevonedistat,HEL,-2.09157
328,Pictilisib,HEL,1.988692
329,Piperlongumine,HEL,1.168082
330,Podophyllotoxin bromide,HEL,-1.467516
331,Pyridostatin,HEL,4.373158
332,RVX-208,HEL,4.288528
333,Rapamycin,HEL,-1.231258
334,Refametinib,HEL,4.266376
335,Ribociclib,HEL,2.030058
336,Rucaparib,HEL,3.221512
337,Ruxolitinib,HEL,1.434941
338,SB216763,HEL,2.228604
339,SB505124,HEL,3.876046
340,SCH772984,HEL,3.395692
341,SGC-CBP30,HEL,3.113634
342,SGC0946,HEL,1.168598
343,SL0101,HEL,3.070563
344,SN-38,HEL,-4.767978
345,Sabutoclax,HEL,-1.540775
346,Sapitinib,HEL,3.910589
347,Savolitinib,HEL,1.108371
348,Schweinfurthin A,HEL,-1.57222
349,Selumetinib,HEL,4.37794
350,Sepantronium bromide,HEL,-1.83873
351,Serdemetan,HEL,2.50108
352,Sinularin,HEL,2.954225
353,Sorafenib,HEL,1.859532
354,Staurosporine,HEL,-3.532707
355,Talazoparib,HEL,0.547618
356,Tamoxifen,HEL,4.306699
357,Tanespimycin,HEL,0.217353
358,Taselisib,HEL,4.241866
359,Telomerase Inhibitor IX,HEL,0.007884
360,Temozolomide,HEL,4.056126
361,Temsirolimus,HEL,0.472727
362,Teniposide,HEL,-1.205994
363,Topotecan,HEL,-1.103777
364,Tozasertib,HEL,1.441849
365,Trametinib,HEL,1.549934
366,Ulixertinib,HEL,3.630857
367,Uprosertib,HEL,3.792156
368,VE-822,HEL,-0.014849
369,VE821,HEL,0.905257
370,VX-11e,HEL,2.47524
371,Veliparib,HEL,4.214052
372,Vincristine,HEL,-1.987847
373,Vinorelbine,HEL,-2.338475
374,Vismodegib,HEL,3.815731
375,Vorinostat,HEL,-0.043489
376,WEHI-539,HEL,0.162486
377,WIKI4,HEL,3.705608
378,WZ4003,HEL,3.187116
379,Wee1 Inhibitor,HEL,0.035601
380,Wnt-C59,HEL,3.354435
381,XAV939,HEL,3.142521
382,YK-4-279,HEL,2.033787
383,ZM447439,HEL,2.134254
384,Zoledronate,HEL,2.616975
385,5-Fluorouracil,MONOMAC6,0.072576
386,5-azacytidine,MONOMAC6,-0.026691
387,A-366,MONOMAC6,2.943793
388,ABT737,MONOMAC6,-0.383812
389,AGK2,MONOMAC6,1.891061
390,AT13148,MONOMAC6,2.515083
391,AZ6102,MONOMAC6,1.096492
392,AZD3759,MONOMAC6,2.26116
393,AZD4547,MONOMAC6,0.93736
394,AZD5363,MONOMAC6,0.668029
395,AZD6738,MONOMAC6,0.37761
396,AZD7762,MONOMAC6,-5.224524
397,AZD8055,MONOMAC6,-0.519294
398,AZD8186,MONOMAC6,0.329936
399,Afatinib,MONOMAC6,0.410422
400,Afuresertib,MONOMAC6,-0.969202
401,Alisertib,MONOMAC6,1.402632
402,Alpelisib,MONOMAC6,3.08351
403,Avagacestat,MONOMAC6,3.139284
404,BI-2536,MONOMAC6,-4.694406
405,BIBR-1532,MONOMAC6,3.771469
406,BMS-536924,MONOMAC6,-1.039763
407,BMS-754807,MONOMAC6,1.114902
408,Bleomycin (50 uM),MONOMAC6,4.258549
409,Bortezomib,MONOMAC6,-5.692622
410,Bosutinib,MONOMAC6,-0.189497
411,CCT007093,MONOMAC6,4.779869
412,Camptothecin,MONOMAC6,-3.878581
413,Cediranib,MONOMAC6,0.724321
414,Cisplatin,MONOMAC6,1.057342
415,Cyclophosphamide,MONOMAC6,4.761188
416,Cytarabine,MONOMAC6,1.6038
417,Dabrafenib,MONOMAC6,1.593584
418,Dactinomycin,MONOMAC6,-5.551418
419,Dactolisib,MONOMAC6,-3.14532
420,Daporinad,MONOMAC6,-6.360406
421,Dasatinib,MONOMAC6,0.601436
422,Docetaxel,MONOMAC6,-5.362865
423,Doramapimod,MONOMAC6,3.319389
424,EHT-1864,MONOMAC6,2.119919
425,EPZ004777,MONOMAC6,3.643607
426,EPZ5676,MONOMAC6,3.383985
427,Epirubicin,MONOMAC6,-1.279449
428,Erlotinib,MONOMAC6,1.927682
429,Foretinib,MONOMAC6,-5.432385
430,Fulvestrant,MONOMAC6,1.171788
431,GDC0810,MONOMAC6,4.653824
432,GSK1904529A,MONOMAC6,3.361578
433,GSK2578215A,MONOMAC6,3.959929
434,GSK2830371,MONOMAC6,3.840053
435,GSK343,MONOMAC6,3.167461
436,GSK591,MONOMAC6,3.8941
437,GW441756,MONOMAC6,1.51788
438,Gefitinib,MONOMAC6,1.772904
439,I-BRD9,MONOMAC6,1.345108
440,ICL-SIRT078,MONOMAC6,2.162168
441,Ipatasertib,MONOMAC6,0.422304
442,Irinotecan,MONOMAC6,0.09869
443,JNK Inhibitor VIII,MONOMAC6,4.696689
444,JQ1,MONOMAC6,-1.728477
445,KU-55933,MONOMAC6,3.387302
446,LGK974,MONOMAC6,2.712634
447,LJI308,MONOMAC6,3.392309
448,Lapatinib,MONOMAC6,2.895672
449,Lenalidomide,MONOMAC6,3.754978
450,Lestaurtinib,MONOMAC6,-4.419524
451,Linsitinib,MONOMAC6,3.131902
452,Luminespib,MONOMAC6,-4.936914
453,MG-132,MONOMAC6,-2.050918
454,MIM1,MONOMAC6,3.957696
455,MIRA-1,MONOMAC6,3.90638
456,MK-1775,MONOMAC6,-1.030491
457,MK-2206,MONOMAC6,0.212378
458,MK-8776,MONOMAC6,-0.148302
459,Methotrexate,MONOMAC6,-4.703608
460,Motesanib,MONOMAC6,4.225031
461,Mycophenolic acid,MONOMAC6,1.003588
462,N-acetyl cysteine,MONOMAC6,9.400527
463,NU7441,MONOMAC6,1.289203
464,NVP-ADW742,MONOMAC6,0.556723
465,Navitoclax,MONOMAC6,1.415579
466,Olaparib,MONOMAC6,3.170312
467,Osimertinib,MONOMAC6,0.550132
468,Oxaliplatin,MONOMAC6,1.637134
469,P22077,MONOMAC6,0.986203
470,PD0325901,MONOMAC6,0.066447
471,PD173074,MONOMAC6,2.519559
472,PFI-1,MONOMAC6,1.465349
473,PLX-4720,MONOMAC6,0.4971
474,POMHEX,MONOMAC6,-0.161213
475,Paclitaxel,MONOMAC6,-5.82445
476,Palbociclib,MONOMAC6,1.859921
477,Pevonedistat,MONOMAC6,-4.033075
478,Pictilisib,MONOMAC6,-0.349823
479,Pyridostatin,MONOMAC6,2.796411
480,Rapamycin,MONOMAC6,-3.108759
481,Refametinib,MONOMAC6,-0.360598
482,Ribociclib,MONOMAC6,3.069551
483,Rucaparib,MONOMAC6,2.372484
484,SB216763,MONOMAC6,4.602899
485,SCH772984,MONOMAC6,1.356441
486,SGC0946,MONOMAC6,1.478139
487,SN-38,MONOMAC6,-5.062373
488,Sapitinib,MONOMAC6,3.48152
489,Savolitinib,MONOMAC6,0.797373
490,Selumetinib,MONOMAC6,1.823184
491,Sepantronium bromide,MONOMAC6,-4.214986
492,Serdemetan,MONOMAC6,1.89959
493,Sorafenib,MONOMAC6,-4.572455
494,Staurosporine,MONOMAC6,-5.909916
495,TW 37,MONOMAC6,0.312281
496,Talazoparib,MONOMAC6,0.707492
497,Tamoxifen,MONOMAC6,1.862034
498,Tanespimycin,MONOMAC6,-1.510369
499,Taselisib,MONOMAC6,-0.266481
500,Telomerase Inhibitor IX,MONOMAC6,-0.722456
501,Temozolomide,MONOMAC6,3.176285
502,Temsirolimus,MONOMAC6,-0.181792
503,Trametinib,MONOMAC6,-1.376072
504,UMI-77,MONOMAC6,1.620338
505,UNC0379,MONOMAC6,1.334856
506,UNC0638,MONOMAC6,1.883743
507,Ulixertinib,MONOMAC6,1.703154
508,Uprosertib,MONOMAC6,1.111944
509,VE821,MONOMAC6,2.003538
510,VX-11e,MONOMAC6,1.284252
511,Veliparib,MONOMAC6,3.977152
512,Vinblastine,MONOMAC6,-6.359207
513,Vinorelbine,MONOMAC6,-4.617505
514,Vismodegib,MONOMAC6,4.084193
515,Vorinostat,MONOMAC6,0.087911
516,WEHI-539,MONOMAC6,2.517096
517,WIKI4,MONOMAC6,4.778531
518,Wee1 Inhibitor,MONOMAC6,-0.52499
519,YK-4-279,MONOMAC6,0.335603
520,ZM447439,MONOMAC6,0.962118
521,alpha-lipoic acid,MONOMAC6,6.211133
522,glutathione,MONOMAC6,8.923178
523,5-Fluorouracil,LS513,1.742438
524,5-azacytidine,LS513,3.380988
525,A-366,LS513,3.638545
526,AGI-6780,LS513,4.47839
527,AGK2,LS513,2.611247
528,AT13148,LS513,4.4434
529,AZ6102,LS513,0.798365
530,AZ960,LS513,2.629074
531,AZD1208,LS513,3.668332
532,AZD1332,LS513,4.486385
533,AZD2014,LS513,1.281718
534,AZD3759,LS513,1.446812
535,AZD4547,LS513,3.99813
536,AZD5153,LS513,2.064885
537,AZD5438,LS513,0.993794
538,AZD5582,LS513,4.829677
539,AZD5991,LS513,6.149584
540,AZD7762,LS513,0.715533
541,AZD8055,LS513,-0.138152
542,Acetalax,LS513,5.590222
543,Afatinib,LS513,-0.259734
544,Alisertib,LS513,0.25052
545,Alpelisib,LS513,3.180765
546,Avagacestat,LS513,4.887107
547,BI-2536,LS513,-0.877715
548,BMS-345541,LS513,2.135081
549,BMS-754807,LS513,-1.114806
550,Bleomycin,LS513,2.038504
551,Bleomycin (50 uM),LS513,1.510962
552,Bosutinib,LS513,3.329184
553,Bromosporine,LS513,1.947817
554,CCT007093,LS513,5.698212
555,CZC24832,LS513,4.956259
556,Camptothecin,LS513,-3.160246
557,Carmustine,LS513,6.951097
558,Cisplatin,LS513,2.919147
559,Dabrafenib,LS513,4.404782
560,Dacarbazine,LS513,6.567301
561,Dactinomycin,LS513,-3.760591
562,Daporinad,LS513,-3.855835
563,Dasatinib,LS513,2.264065
564,Dihydrorotenone,LS513,2.075017
565,Dinaciclib,LS513,-2.886744
566,Docetaxel,LS513,-3.711243
567,Doramapimod,LS513,5.35352
568,EHT-1864,LS513,3.170517
569,EPZ004777,LS513,5.859496
570,EPZ5676,LS513,5.133465
571,Elephantin,LS513,1.96435
572,Entospletinib,LS513,4.500123
573,Fludarabine,LS513,3.534461
574,Fulvestrant,LS513,6.0177
575,GSK-LSD1,LS513,1.683692
576,GSK1904529A,LS513,4.405936
577,GSK2110183B,LS513,1.405565
578,GSK2801,LS513,5.172107
579,GSK2830371,LS513,5.658243
580,GSK343,LS513,3.158856
581,GSK591,LS513,4.441317
582,GW441756,LS513,3.981601
583,IWP-2,LS513,3.441628
584,Ibrutinib,LS513,4.813731
585,Irinotecan,LS513,1.813011
586,JNK Inhibitor VIII,LS513,5.540519
587,JQ1,LS513,1.464482
588,KRAS (G12C) Inhibitor-12,LS513,4.124174
589,KU-55933,LS513,5.775309
590,L-Oxonoreleagnine,LS513,4.146112
591,LCL161,LS513,5.528602
592,LGK974,LS513,4.447995
593,LJI308,LS513,4.729262
594,LMP744,LS513,-0.66299
595,LY2109761,LS513,4.92314
596,Lapatinib,LS513,1.37076
597,Leflunomide,LS513,5.065966
598,Lenalidomide,LS513,5.504545
599,Lestaurtinib,LS513,0.024441
600,Linsitinib,LS513,1.593206
601,Luminespib,LS513,-3.726129
602,MG-132,LS513,-1.429434
603,MIRA-1,LS513,4.312625
604,MK-1775,LS513,-0.595952
605,MK-2206,LS513,0.824578
606,ML323,LS513,4.24133
607,MN-64,LS513,5.071992
608,Methotrexate,LS513,-0.864728
609,Mirin,LS513,4.089461
610,Mitoxantrone,LS513,0.384495
611,Motesanib,LS513,5.775309
612,Mycophenolic acid,LS513,0.645459
613,N-acetyl cysteine,LS513,8.988045
614,NU7441,LS513,3.189255
615,Navitoclax,LS513,2.150489
616,Niraparib,LS513,3.769896
617,OF-1,LS513,4.4166
618,OTX015,LS513,2.015937
619,Olaparib,LS513,3.813458
620,Oxaliplatin,LS513,1.776041
621,PCI-34051,LS513,3.487065
622,PD0325901,LS513,-3.224086
623,PD173074,LS513,3.514301
624,PFI-1,LS513,4.402877
625,PFI3,LS513,5.737934
626,PLX-4720,LS513,5.060211
627,POMHEX,LS513,0.590036
628,PRIMA-1MET,LS513,3.392785
629,PRT062607,LS513,2.476106
630,Palbociclib,LS513,1.209893
631,Pictilisib,LS513,0.296864
632,Podophyllotoxin bromide,LS513,-1.023477
633,RVX-208,LS513,5.333803
634,Rapamycin,LS513,-1.05794
635,Refametinib,LS513,-1.83118
636,Ribociclib,LS513,1.62957
637,Rucaparib,LS513,3.004406
638,Ruxolitinib,LS513,5.222221
639,SB216763,LS513,3.048123
640,SB505124,LS513,1.328481
641,SCH772984,LS513,0.024482
642,SGC-CBP30,LS513,4.708829
643,SGC0946,LS513,1.776863
644,SN-38,LS513,-4.489221
645,Sabutoclax,LS513,-0.200939
646,Sapitinib,LS513,1.634124
647,Schweinfurthin A,LS513,3.308318
648,Selumetinib,LS513,-0.11144
649,Serdemetan,LS513,3.282957
650,Sinularin,LS513,2.589297
651,Staurosporine,LS513,-2.235196
652,TW 37,LS513,4.467028
653,Tanespimycin,LS513,-1.886624
654,Taselisib,LS513,0.327674
655,Temozolomide,LS513,7.248506
656,Temsirolimus,LS513,0.224156
657,Teniposide,LS513,1.352384
658,Topotecan,LS513,0.179324
659,Trametinib,LS513,-5.07196
660,UNC0379,LS513,2.50628
661,UNC0638,LS513,4.474052
662,Uprosertib,LS513,1.288134
663,VE-822,LS513,1.942905
664,VE821,LS513,2.798011
665,VX-11e,LS513,-0.154789
666,Veliparib,LS513,5.030822
667,Vincristine,LS513,-1.685101
668,Vinorelbine,LS513,-3.521728
669,Vismodegib,LS513,4.616114
670,WEHI-539,LS513,3.719036
671,WZ4003,LS513,3.224961
672,Wnt-C59,LS513,5.417568
673,XAV939,LS513,4.566113
674,ZM447439,LS513,1.744665
675,Zoledronate,LS513,4.536145
676,alpha-lipoic acid,LS513,7.90602
677,glutathione,LS513,8.468905
678,5-Fluorouracil,A101D,3.945825
679,5-azacytidine,A101D,1.198543
680,A-366,A101D,5.475173
681,ABT737,A101D,0.474327
682,AGI-6780,A101D,4.501571
683,AGK2,A101D,4.176421
684,AT13148,A101D,3.01253
685,AZ6102,A101D,1.301374
686,AZ960,A101D,1.863709
687,AZD1208,A101D,4.76108
688,AZD1332,A101D,3.201106
689,AZD2014,A101D,0.632457
690,AZD3759,A101D,2.991665
691,AZD4547,A101D,3.315949
692,AZD5153,A101D,0.408255
693,AZD5363,A101D,1.810588
694,AZD5438,A101D,1.296108
695,AZD5582,A101D,-4.857478
696,AZD5991,A101D,4.140862
697,AZD6738,A101D,1.003643
698,AZD7762,A101D,0.300596
699,AZD8055,A101D,-1.27046
700,AZD8186,A101D,1.907486
701,Acetalax,A101D,7.083142
702,Afatinib,A101D,1.566515
703,Afuresertib,A101D,2.311981
704,Alisertib,A101D,1.283772
705,Alpelisib,A101D,4.226877
706,Avagacestat,A101D,4.064976
707,BI-2536,A101D,-1.946281
708,BIBR-1532,A101D,4.784777
709,BMS-345541,A101D,4.974567
710,BMS-536924,A101D,3.229974
711,BMS-754807,A101D,2.67881
712,Bleomycin,A101D,2.168683
713,Bleomycin (50 uM),A101D,2.454798
714,Bortezomib,A101D,-6.884155
715,Bosutinib,A101D,3.215838
716,Bromosporine,A101D,2.010181
717,CCT007093,A101D,5.350212
718,CZC24832,A101D,4.688979
719,Camptothecin,A101D,-2.762168
720,Carmustine,A101D,6.005621
721,Cediranib,A101D,2.154311
722,Cisplatin,A101D,1.37653
723,Cyclophosphamide,A101D,5.782912
724,Cytarabine,A101D,0.560338
725,Dabrafenib,A101D,-1.036739
726,Dacarbazine,A101D,6.538847
727,Dactinomycin,A101D,-4.545826
728,Dactolisib,A101D,-3.345471
729,Dasatinib,A101D,1.832577
730,Dihydrorotenone,A101D,1.789078
731,Dinaciclib,A101D,-3.298414
732,Docetaxel,A101D,-4.384575
733,Doramapimod,A101D,5.856646
734,EHT-1864,A101D,4.342398
735,EPZ004777,A101D,4.620337
736,EPZ5676,A101D,5.599818
737,Elephantin,A101D,2.476098
738,Entospletinib,A101D,3.068
739,Epirubicin,A101D,-2.126764
740,Erlotinib,A101D,2.081909
