,drug,cell_line,IC50
119,Nutlin-3a (-),HL60,3.685447
120,OF-1,HL60,0.928478
121,OSI-027,HL60,3.820561
122,Obatoclax Mesylate,HL60,0.645424
123,Olaparib,HL60,3.475814
124,Oxaliplatin,HL60,2.398582
125,PCI-34051,HL60,4.391048
126,PD0325901,HL60,-3.501066
127,PD173074,HL60,4.208856
128,PFI-1,HL60,2.459947
129,PFI3,HL60,4.259533
130,POMHEX,HL60,1.407742
131,PRIMA-1MET,HL60,5.892109
132,PRT062607,HL60,2.149309
133,Paclitaxel,HL60,-4.906881
134,Palbociclib,HL60,2.306101
135,Pevonedistat,HL60,-1.459439
136,Picolinici-acid,HL60,4.740492
137,Pictilisib,HL60,1.262272
138,Podophyllotoxin bromide,HL60,-1.674663
139,Pyridostatin,HL60,4.298902
140,RO-3306,HL60,4.847768
141,RVX-208,HL60,3.35364
142,Refametinib,HL60,-1.167613
143,Ribociclib,HL60,3.433514
144,Romidepsin,HL60,-6.094023
145,Rucaparib,HL60,3.78804
146,Ruxolitinib,HL60,3.372182
147,SB216763,HL60,3.882611
148,SB590885,HL60,3.906465
149,SCH772984,HL60,0.146872
150,SGC-CBP30,HL60,3.667655
151,SGC0946,HL60,1.874233
152,SN-38,HL60,-5.868396
153,Sabutoclax,HL60,0.814406
154,Sapitinib,HL60,3.307865
155,Savolitinib,HL60,1.442681
156,Schweinfurthin A,HL60,-1.71815
157,Selumetinib,HL60,0.441364
158,Sepantronium bromide,HL60,-5.547198
159,Serdemetan,HL60,3.580526
160,Sinularin,HL60,3.352685
161,Sorafenib,HL60,0.645929
162,Talazoparib,HL60,0.970772
163,Tamoxifen,HL60,2.773471
164,Tanespimycin,HL60,-0.02127
165,Telomerase Inhibitor IX,HL60,-0.174372
166,Temsirolimus,HL60,0.734264
167,Teniposide,HL60,-1.596655
168,Topotecan,HL60,-1.336943
169,Trametinib,HL60,-3.320319
170,UMI-77,HL60,1.435243
171,UNC0379,HL60,4.588174
172,UNC0638,HL60,2.025077
173,Ulixertinib,HL60,1.306203
174,Uprosertib,HL60,3.358422
175,VE-822,HL60,3.054477
176,VX-11e,HL60,2.050311
177,Veliparib,HL60,4.110177
178,Venetoclax,HL60,-4.488296
179,Vinblastine,HL60,-6.310347
180,Vincristine,HL60,-4.649077
181,Vinorelbine,HL60,-4.581106
182,Vismodegib,HL60,3.578583
183,Vorinostat,HL60,0.205701
184,WEHI-539,HL60,3.762251
185,WIKI4,HL60,2.307919
186,WZ4003,HL60,3.666695
187,Wnt-C59,HL60,3.23988
188,XAV939,HL60,4.349326
189,YK-4-279,HL60,0.316688
190,ZM447439,HL60,-0.106262
191,Zoledronate,HL60,3.148767
192,alpha-lipoic acid,HL60,5.007582
193,glutathione,HL60,8.188005
194,5-Fluorouracil,HEL,2.462663
195,ABT737,HEL,0.727914
196,AGI-5198,HEL,4.37324
197,AGI-6780,HEL,3.053522
198,AMG-319,HEL,4.372633
199,AT13148,HEL,2.924252
200,AZ6102,HEL,1.741545
201,AZ960,HEL,-0.45043
202,AZD1208,HEL,3.969908
203,AZD2014,HEL,1.990833
204,AZD3759,HEL,1.690591
205,AZD4547,HEL,2.660068
206,AZD5153,HEL,-1.579341
207,AZD5363,HEL,4.258594
208,AZD5582,HEL,4.464754
209,AZD5991,HEL,4.373228
210,AZD6482,HEL,3.83721
211,AZD6738,HEL,-0.401548
212,AZD7762,HEL,-1.444233
213,AZD8186,HEL,4.372257
214,Acetalax,HEL,5.229914
215,Afatinib,HEL,1.830878
216,Alisertib,HEL,2.270216
217,Alpelisib,HEL,3.426936
218,Avagacestat,HEL,4.044609
219,Axitinib,HEL,2.380458
220,BI-2536,HEL,-2.490341
221,BIBR-1532,HEL,4.341508
222,BMS-345541,HEL,1.703818
223,BMS-536924,HEL,1.081879
224,BMS-754807,HEL,2.841303
225,BX795,HEL,2.011093
226,Bicalutamide,HEL,4.373083
227,Bleomycin,HEL,2.162377
228,Bortezomib,HEL,-5.526198
229,Bosutinib,HEL,1.223188
230,Bromosporine,HEL,1.232807
231,Buparlisib,HEL,1.076224
232,CCT-018159,HEL,2.639738
233,CCT007093,HEL,3.671145
234,CHIR-99021,HEL,1.043535
235,CZC24832,HEL,4.457007
236,Carmustine,HEL,4.675045
237,Cediranib,HEL,1.947726
238,Crizotinib,HEL,1.63062
239,Cyclophosphamide,HEL,4.371572
240,Dabrafenib,HEL,3.765882
241,Dacarbazine,HEL,4.485565
242,Dactinomycin,HEL,-4.093321
243,Dactolisib,HEL,-2.54546
244,Daporinad,HEL,-5.692192
245,Dasatinib,HEL,2.165652
246,Dihydrorotenone,HEL,2.003986
247,Dinaciclib,HEL,-3.721416
248,EHT-1864,HEL,2.898275
249,EPZ5676,HEL,4.556531
250,Elephantin,HEL,2.249668
251,Elesclomol,HEL,-3.873658
252,Entinostat,HEL,0.481834
253,Entospletinib,HEL,2.510442
254,Erlotinib,HEL,2.832938
255,Fludarabine,HEL,1.096348
256,Foretinib,HEL,2.901355
257,Fulvestrant,HEL,2.61263
258,GDC0810,HEL,4.373016
259,GNE-317,HEL,1.206981
260,GSK-LSD1,HEL,-1.014576
261,GSK1904529A,HEL,4.18719
262,GSK2110183B,HEL,3.164307
263,GSK2578215A,HEL,3.7717
264,GSK2606414,HEL,2.635478
265,GSK269962A,HEL,2.759768
266,GSK2801,HEL,4.201838
267,GSK343,HEL,1.867207
268,GSK591,HEL,2.624115
269,GW441756,HEL,2.751303
270,Gallibiscoquinazole,HEL,2.008598
271,Gefitinib,HEL,2.442367
272,Gemcitabine,HEL,-4.820891
273,I-BET-762,HEL,1.439985
274,IOX2,HEL,1.277448
275,IWP-2,HEL,2.290308
276,Ibrutinib,HEL,3.803914
277,Ipatasertib,HEL,3.972406
278,JNK Inhibitor VIII,HEL,3.199606
279,JQ1,HEL,-0.718532
280,KRAS (G12C) Inhibitor-12,HEL,3.869663
281,KU-55933,HEL,4.139366
282,L-Oxonoreleagnine,HEL,1.962914
283,LCL161,HEL,4.511036
284,LGK974,HEL,3.820743
285,LJI308,HEL,4.167601
286,LMP744,HEL,-2.995625
287,LY2109761,HEL,3.744833
288,Lapatinib,HEL,2.532252
289,Leflunomide,HEL,3.650549
290,Lenalidomide,HEL,4.367074
291,Lestaurtinib,HEL,-0.851305
292,Linsitinib,HEL,3.230307
293,Luminespib,HEL,-3.507849
294,MG-132,HEL,-1.846089
295,MK-1775,HEL,-1.025868
296,MK-2206,HEL,3.271386
297,MK-8776,HEL,0.553272
298,ML323,HEL,3.72267
299,MN-64,HEL,2.697512
300,Methotrexate,HEL,-2.372109
301,Mirin,HEL,3.667897
302,Mitoxantrone,HEL,-1.480227
303,Motesanib,HEL,4.093971
304,NU7441,HEL,1.688381
305,NVP-ADW742,HEL,3.816078
306,Navitoclax,HEL,-0.098989
307,Nelarabine,HEL,3.647548
308,Nilotinib,HEL,3.046639
309,Niraparib,HEL,1.954565
310,Nutlin-3a (-),HEL,4.287108
311,OF-1,HEL,4.031677
312,OSI-027,HEL,1.843611
313,Obatoclax Mesylate,HEL,1.18841
314,Olaparib,HEL,3.503609
315,Oxaliplatin,HEL,2.097369
316,PCI-34051,HEL,2.604943
317,PD0325901,HEL,2.94561
318,PD173074,HEL,2.836276
319,PF-4708671,HEL,2.541509
320,PFI-1,HEL,2.288104
321,PFI3,HEL,4.011434
322,PRIMA-1MET,HEL,2.840747
323,PRT062607,HEL,2.055156
324,Paclitaxel,HEL,-2.214539
325,Palbociclib,HEL,1.188299
326,Pevonedistat,HEL,-2.09157
327,Picolinici-acid,HEL,4.305891
328,Pictilisib,HEL,1.988692
329,Piperlongumine,HEL,1.168082
330,Podophyllotoxin bromide,HEL,-1.467516
331,Pyridostatin,HEL,4.373158
332,RO-3306,HEL,1.500782
333,RVX-208,HEL,4.288528
334,Refametinib,HEL,4.266376
335,Ribociclib,HEL,2.030058
336,Romidepsin,HEL,-5.02797
337,Rucaparib,HEL,3.221512
338,Ruxolitinib,HEL,1.434941
339,SB216763,HEL,2.228604
340,SB505124,HEL,3.876046
341,SB590885,HEL,3.544834
342,SCH772984,HEL,3.395692
343,SGC-CBP30,HEL,3.113634
344,SGC0946,HEL,1.168598
345,SL0101,HEL,3.070563
346,SN-38,HEL,-4.767978
347,Sabutoclax,HEL,-1.540775
348,Sapitinib,HEL,3.910589
349,Savolitinib,HEL,1.108371
350,Schweinfurthin A,HEL,-1.57222
351,Selumetinib,HEL,4.37794
352,Sepantronium bromide,HEL,-1.83873
353,Serdemetan,HEL,2.50108
354,Sinularin,HEL,2.954225
355,Sorafenib,HEL,1.859532
356,Talazoparib,HEL,0.547618
357,Tamoxifen,HEL,4.306699
358,Tanespimycin,HEL,0.217353
359,Telomerase Inhibitor IX,HEL,0.007884
360,Temsirolimus,HEL,0.472727
361,Teniposide,HEL,-1.205994
362,Topotecan,HEL,-1.103777
363,Tozasertib,HEL,1.441849
364,Trametinib,HEL,1.549934
365,Tretinoin,HEL,3.764337
366,Ulixertinib,HEL,3.630857
367,Uprosertib,HEL,3.792156
368,VE-822,HEL,-0.014849
369,VX-11e,HEL,2.47524
370,Veliparib,HEL,4.214052
371,Venetoclax,HEL,2.791771
372,Vincristine,HEL,-1.987847
373,Vinorelbine,HEL,-2.338475
374,Vismodegib,HEL,3.815731
375,Vorinostat,HEL,-0.043489
376,WEHI-539,HEL,0.162486
377,WIKI4,HEL,3.705608
378,WZ4003,HEL,3.187116
379,Wnt-C59,HEL,3.354435
380,XAV939,HEL,3.142521
381,YK-4-279,HEL,2.033787
382,ZM447439,HEL,2.134254
383,Zoledronate,HEL,2.616975
384,5-Fluorouracil,MONOMAC6,0.072576
385,5-azacytidine,MONOMAC6,-0.026691
386,A-366,MONOMAC6,2.943793
387,ABT737,MONOMAC6,-0.383812
388,AGI-5198,MONOMAC6,3.6054
389,AMG-319,MONOMAC6,3.168427
390,AT13148,MONOMAC6,2.515083
391,AZ6102,MONOMAC6,1.096492
392,AZD3759,MONOMAC6,2.26116
393,AZD4547,MONOMAC6,0.93736
394,AZD5363,MONOMAC6,0.668029
395,AZD6738,MONOMAC6,0.37761
396,AZD7762,MONOMAC6,-5.224524
397,AZD8055,MONOMAC6,-0.519294
398,AZD8186,MONOMAC6,0.329936
399,Afatinib,MONOMAC6,0.410422
400,Alisertib,MONOMAC6,1.402632
401,Alpelisib,MONOMAC6,3.08351
402,Avagacestat,MONOMAC6,3.139284
403,Axitinib,MONOMAC6,1.635504
404,BI-2536,MONOMAC6,-4.694406
405,BIBR-1532,MONOMAC6,3.771469
406,BMS-536924,MONOMAC6,-1.039763
407,BMS-754807,MONOMAC6,1.114902
408,Bleomycin (50 uM),MONOMAC6,4.258549
409,Bortezomib,MONOMAC6,-5.692622
410,Bosutinib,MONOMAC6,-0.189497
411,Buparlisib,MONOMAC6,-0.259172
412,CCT007093,MONOMAC6,4.779869
413,CPI-637,MONOMAC6,1.387387
414,Cediranib,MONOMAC6,0.724321
415,Cisplatin,MONOMAC6,1.057342
416,Crizotinib,MONOMAC6,0.863304
417,Cyclophosphamide,MONOMAC6,4.761188
418,Cytarabine,MONOMAC6,1.6038
419,Dabrafenib,MONOMAC6,1.593584
420,Dactinomycin,MONOMAC6,-5.551418
421,Dactolisib,MONOMAC6,-3.14532
422,Daporinad,MONOMAC6,-6.360406
423,Dasatinib,MONOMAC6,0.601436
424,EHT-1864,MONOMAC6,2.119919
425,EPZ5676,MONOMAC6,3.383985
426,Erlotinib,MONOMAC6,1.927682
427,Foretinib,MONOMAC6,-5.432385
428,Fulvestrant,MONOMAC6,1.171788
429,GDC0810,MONOMAC6,4.653824
430,GNE-317,MONOMAC6,-0.384044
431,GSK1904529A,MONOMAC6,3.361578
432,GSK2578215A,MONOMAC6,3.959929
433,GSK2830371,MONOMAC6,3.840053
434,GSK343,MONOMAC6,3.167461
435,GSK591,MONOMAC6,3.8941
436,GW441756,MONOMAC6,1.51788
437,Gefitinib,MONOMAC6,1.772904
438,Gemcitabine,MONOMAC6,-4.843396
439,ICL-SIRT078,MONOMAC6,2.162168
440,Ipatasertib,MONOMAC6,0.422304
441,JNK Inhibitor VIII,MONOMAC6,4.696689
442,JQ1,MONOMAC6,-1.728477
443,KU-55933,MONOMAC6,3.387302
444,LGK974,MONOMAC6,2.712634
445,LJI308,MONOMAC6,3.392309
446,Lapatinib,MONOMAC6,2.895672
447,Lenalidomide,MONOMAC6,3.754978
448,Lestaurtinib,MONOMAC6,-4.419524
449,Linsitinib,MONOMAC6,3.131902
450,Luminespib,MONOMAC6,-4.936914
451,MG-132,MONOMAC6,-2.050918
452,MIM1,MONOMAC6,3.957696
453,MK-1775,MONOMAC6,-1.030491
454,MK-2206,MONOMAC6,0.212378
455,MK-8776,MONOMAC6,-0.148302
456,Methotrexate,MONOMAC6,-4.703608
457,Motesanib,MONOMAC6,4.225031
458,Mycophenolic acid,MONOMAC6,1.003588
459,N-acetyl cysteine,MONOMAC6,9.400527
460,NU7441,MONOMAC6,1.289203
461,NVP-ADW742,MONOMAC6,0.556723
462,Navitoclax,MONOMAC6,1.415579
463,Nilotinib,MONOMAC6,1.801977
464,Nutlin-3a (-),MONOMAC6,4.336738
465,OSI-027,MONOMAC6,1.119575
466,Obatoclax Mesylate,MONOMAC6,-0.9275
467,Olaparib,MONOMAC6,3.170312
468,Oxaliplatin,MONOMAC6,1.637134
469,PD0325901,MONOMAC6,0.066447
470,PD173074,MONOMAC6,2.519559
471,PFI-1,MONOMAC6,1.465349
472,POMHEX,MONOMAC6,-0.161213
473,Paclitaxel,MONOMAC6,-5.82445
474,Palbociclib,MONOMAC6,1.859921
475,Pevonedistat,MONOMAC6,-4.033075
476,Pictilisib,MONOMAC6,-0.349823
477,Pyridostatin,MONOMAC6,2.796411
478,RO-3306,MONOMAC6,2.053315
479,Refametinib,MONOMAC6,-0.360598
480,Ribociclib,MONOMAC6,3.069551
481,Rucaparib,MONOMAC6,2.372484
482,SB216763,MONOMAC6,4.602899
483,SB590885,MONOMAC6,4.086722
484,SCH772984,MONOMAC6,1.356441
485,SGC0946,MONOMAC6,1.478139
486,SN-38,MONOMAC6,-5.062373
487,Sapitinib,MONOMAC6,3.48152
488,Savolitinib,MONOMAC6,0.797373
489,Selumetinib,MONOMAC6,1.823184
490,Sepantronium bromide,MONOMAC6,-4.214986
491,Serdemetan,MONOMAC6,1.89959
492,Sorafenib,MONOMAC6,-4.572455
493,TW 37,MONOMAC6,0.312281
494,Talazoparib,MONOMAC6,0.707492
495,Tamoxifen,MONOMAC6,1.862034
496,Tanespimycin,MONOMAC6,-1.510369
497,Telomerase Inhibitor IX,MONOMAC6,-0.722456
498,Temsirolimus,MONOMAC6,-0.181792
499,Trametinib,MONOMAC6,-1.376072
500,UMI-77,MONOMAC6,1.620338
501,UNC0379,MONOMAC6,1.334856
502,UNC0638,MONOMAC6,1.883743
503,Ulixertinib,MONOMAC6,1.703154
504,Uprosertib,MONOMAC6,1.111944
505,VX-11e,MONOMAC6,1.284252
506,Veliparib,MONOMAC6,3.977152
507,Venetoclax,MONOMAC6,0.578429
508,Vinblastine,MONOMAC6,-6.359207
509,Vinorelbine,MONOMAC6,-4.617505
510,Vismodegib,MONOMAC6,4.084193
511,Vorinostat,MONOMAC6,0.087911
512,WEHI-539,MONOMAC6,2.517096
513,WIKI4,MONOMAC6,4.778531
514,YK-4-279,MONOMAC6,0.335603
515,ZM447439,MONOMAC6,0.962118
516,alpha-lipoic acid,MONOMAC6,6.211133
517,glutathione,MONOMAC6,8.923178
518,5-Fluorouracil,LS513,1.742438
519,5-azacytidine,LS513,3.380988
520,A-366,LS513,3.638545
521,AGI-6780,LS513,4.47839
522,AT13148,LS513,4.4434
523,AZ6102,LS513,0.798365
524,AZ960,LS513,2.629074
525,AZD1208,LS513,3.668332
526,AZD2014,LS513,1.281718
527,AZD3759,LS513,1.446812
528,AZD4547,LS513,3.99813
529,AZD5153,LS513,2.064885
530,AZD5582,LS513,4.829677
531,AZD5991,LS513,6.149584
532,AZD7762,LS513,0.715533
533,AZD8055,LS513,-0.138152
534,Acetalax,LS513,5.590222
535,Afatinib,LS513,-0.259734
536,Alisertib,LS513,0.25052
537,Alpelisib,LS513,3.180765
538,Avagacestat,LS513,4.887107
539,Axitinib,LS513,2.513083
540,BI-2536,LS513,-0.877715
541,BMS-345541,LS513,2.135081
542,BMS-754807,LS513,-1.114806
543,Bleomycin,LS513,2.038504
544,Bleomycin (50 uM),LS513,1.510962
545,Bosutinib,LS513,3.329184
546,Bromosporine,LS513,1.947817
547,CCT007093,LS513,5.698212
548,CPI-637,LS513,5.611521
549,CZC24832,LS513,4.956259
550,Carmustine,LS513,6.951097
551,Cisplatin,LS513,2.919147
552,Crizotinib,LS513,1.277685
553,Dabrafenib,LS513,4.404782
554,Dacarbazine,LS513,6.567301
555,Dactinomycin,LS513,-3.760591
556,Daporinad,LS513,-3.855835
557,Dasatinib,LS513,2.264065
558,Dihydrorotenone,LS513,2.075017
559,Dinaciclib,LS513,-2.886744
560,EHT-1864,LS513,3.170517
561,EPZ5676,LS513,5.133465
562,Elephantin,LS513,1.96435
563,Entinostat,LS513,1.350856
564,Entospletinib,LS513,4.500123
565,Fludarabine,LS513,3.534461
566,Fulvestrant,LS513,6.0177
567,GSK-LSD1,LS513,1.683692
568,GSK1904529A,LS513,4.405936
569,GSK2110183B,LS513,1.405565
570,GSK2606414,LS513,3.552131
571,GSK2801,LS513,5.172107
572,GSK2830371,LS513,5.658243
573,GSK343,LS513,3.158856
574,GSK591,LS513,4.441317
575,GW441756,LS513,3.981601
576,Gallibiscoquinazole,LS513,3.494294
577,Gemcitabine,LS513,-3.243612
578,I-BET-762,LS513,3.169127
579,IWP-2,LS513,3.441628
580,Ibrutinib,LS513,4.813731
581,JNK Inhibitor VIII,LS513,5.540519
582,JQ1,LS513,1.464482
583,KRAS (G12C) Inhibitor-12,LS513,4.124174
584,KU-55933,LS513,5.775309
585,L-Oxonoreleagnine,LS513,4.146112
586,LCL161,LS513,5.528602
587,LGK974,LS513,4.447995
588,LJI308,LS513,4.729262
589,LMP744,LS513,-0.66299
590,LY2109761,LS513,4.92314
591,Lapatinib,LS513,1.37076
592,Leflunomide,LS513,5.065966
593,Lenalidomide,LS513,5.504545
594,Lestaurtinib,LS513,0.024441
595,Linsitinib,LS513,1.593206
596,Luminespib,LS513,-3.726129
597,MG-132,LS513,-1.429434
598,MK-1775,LS513,-0.595952
599,MK-2206,LS513,0.824578
600,ML323,LS513,4.24133
601,MN-64,LS513,5.071992
602,Methotrexate,LS513,-0.864728
603,Mirin,LS513,4.089461
604,Mitoxantrone,LS513,0.384495
605,Motesanib,LS513,5.775309
606,Mycophenolic acid,LS513,0.645459
607,N-acetyl cysteine,LS513,8.988045
608,NU7441,LS513,3.189255
609,Navitoclax,LS513,2.150489
610,Nelarabine,LS513,6.796692
611,Niraparib,LS513,3.769896
612,Nutlin-3a (-),LS513,1.406242
613,OF-1,LS513,4.4166
614,OSI-027,LS513,4.801549
615,Obatoclax Mesylate,LS513,0.521782
616,Olaparib,LS513,3.813458
617,Oxaliplatin,LS513,1.776041
618,PCI-34051,LS513,3.487065
619,PD0325901,LS513,-3.224086
620,PD173074,LS513,3.514301
621,PFI-1,LS513,4.402877
622,PFI3,LS513,5.737934
623,POMHEX,LS513,0.590036
624,PRIMA-1MET,LS513,3.392785
625,PRT062607,LS513,2.476106
626,Palbociclib,LS513,1.209893
627,Picolinici-acid,LS513,4.748499
628,Pictilisib,LS513,0.296864
629,Podophyllotoxin bromide,LS513,-1.023477
630,RO-3306,LS513,2.570261
631,RVX-208,LS513,5.333803
632,Refametinib,LS513,-1.83118
633,Ribociclib,LS513,1.62957
634,Romidepsin,LS513,-4.322347
635,Rucaparib,LS513,3.004406
636,Ruxolitinib,LS513,5.222221
637,SB216763,LS513,3.048123
638,SB505124,LS513,1.328481
639,SB590885,LS513,3.307989
640,SCH772984,LS513,0.024482
641,SGC-CBP30,LS513,4.708829
642,SGC0946,LS513,1.776863
643,SN-38,LS513,-4.489221
644,Sabutoclax,LS513,-0.200939
645,Sapitinib,LS513,1.634124
646,Schweinfurthin A,LS513,3.308318
647,Selumetinib,LS513,-0.11144
648,Serdemetan,LS513,3.282957
649,Sinularin,LS513,2.589297
650,TW 37,LS513,4.467028
651,Tanespimycin,LS513,-1.886624
652,Temsirolimus,LS513,0.224156
653,Teniposide,LS513,1.352384
654,Topotecan,LS513,0.179324
655,Trametinib,LS513,-5.07196
656,UNC0379,LS513,2.50628
657,UNC0638,LS513,4.474052
658,Uprosertib,LS513,1.288134
659,VE-822,LS513,1.942905
660,VX-11e,LS513,-0.154789
661,Veliparib,LS513,5.030822
662,Vincristine,LS513,-1.685101
663,Vinorelbine,LS513,-3.521728
664,Vismodegib,LS513,4.616114
665,WEHI-539,LS513,3.719036
666,WZ4003,LS513,3.224961
667,Wnt-C59,LS513,5.417568
668,XAV939,LS513,4.566113
669,ZM447439,LS513,1.744665
670,Zoledronate,LS513,4.536145
671,alpha-lipoic acid,LS513,7.90602
672,glutathione,LS513,8.468905
673,5-Fluorouracil,A101D,3.945825
674,5-azacytidine,A101D,1.198543
675,A-366,A101D,5.475173
676,ABT737,A101D,0.474327
677,AGI-5198,A101D,5.528712
678,AGI-6780,A101D,4.501571
679,AMG-319,A101D,3.48855
680,AT13148,A101D,3.01253
681,AZ6102,A101D,1.301374
682,AZ960,A101D,1.863709
683,AZD1208,A101D,4.76108
684,AZD2014,A101D,0.632457
685,AZD3759,A101D,2.991665
686,AZD4547,A101D,3.315949
687,AZD5153,A101D,0.408255
688,AZD5363,A101D,1.810588
689,AZD5582,A101D,-4.857478
690,AZD5991,A101D,4.140862
691,AZD6738,A101D,1.003643
692,AZD7762,A101D,0.300596
693,AZD8055,A101D,-1.27046
694,AZD8186,A101D,1.907486
695,Acetalax,A101D,7.083142
696,Afatinib,A101D,1.566515
697,Alisertib,A101D,1.283772
698,Alpelisib,A101D,4.226877
699,Avagacestat,A101D,4.064976
700,Axitinib,A101D,4.658258
701,BI-2536,A101D,-1.946281
702,BIBR-1532,A101D,4.784777
703,BMS-345541,A101D,4.974567
704,BMS-536924,A101D,3.229974
705,BMS-754807,A101D,2.67881
706,Bleomycin,A101D,2.168683
707,Bleomycin (50 uM),A101D,2.454798
708,Bortezomib,A101D,-6.884155
709,Bosutinib,A101D,3.215838
710,Bromosporine,A101D,2.010181
711,Buparlisib,A101D,0.294596
712,CCT007093,A101D,5.350212
713,CPI-637,A101D,4.177282
714,CZC24832,A101D,4.688979
715,Carmustine,A101D,6.005621
716,Cediranib,A101D,2.154311
717,Cisplatin,A101D,1.37653
718,Crizotinib,A101D,2.45638
719,Cyclophosphamide,A101D,5.782912
720,Cytarabine,A101D,0.560338
721,Dabrafenib,A101D,-1.036739
722,Dacarbazine,A101D,6.538847
723,Dactinomycin,A101D,-4.545826
724,Dactolisib,A101D,-3.345471
725,Dasatinib,A101D,1.832577
726,Dihydrorotenone,A101D,1.789078
727,Dinaciclib,A101D,-3.298414
728,EHT-1864,A101D,4.342398
729,EPZ5676,A101D,5.599818
730,Elephantin,A101D,2.476098
731,Entinostat,A101D,1.364011
732,Entospletinib,A101D,3.068
733,Erlotinib,A101D,2.081909
734,Fludarabine,A101D,4.887141
735,Foretinib,A101D,0.441549
736,Fulvestrant,A101D,4.57441
737,GDC0810,A101D,5.780097
738,GNE-317,A101D,-0.016563
