,drug,cell_line,IC50
120,OSI-027,HL60,3.820561
121,OTX015,HL60,-0.554517
122,Obatoclax Mesylate,HL60,0.645424
123,Olaparib,HL60,3.475814
124,Osimertinib,HL60,1.05863
125,Oxaliplatin,HL60,2.398582
126,P22077,HL60,1.495135
127,PCI-34051,HL60,4.391048
128,PD0325901,HL60,-3.501066
129,PD173074,HL60,4.208856
130,PFI-1,HL60,2.459947
131,PFI3,HL60,4.259533
132,PLX-4720,HL60,3.794436
133,POMHEX,HL60,1.407742
134,PRIMA-1MET,HL60,5.892109
135,Paclitaxel,HL60,-4.906881
136,Palbociclib,HL60,2.306101
137,Picolinici-acid,HL60,4.740492
138,Pictilisib,HL60,1.262272
139,Podophyllotoxin bromide,HL60,-1.674663
140,Pyridostatin,HL60,4.298902
141,RO-3306,HL60,4.847768
142,RVX-208,HL60,3.35364
143,Rapamycin,HL60,-1.398099
144,Remodelin,HL60,3.243689
145,Romidepsin,HL60,-6.094023
146,Rucaparib,HL60,3.78804
147,Ruxolitinib,HL60,3.372182
148,SB216763,HL60,3.882611
149,SB590885,HL60,3.906465
150,SCH772984,HL60,0.146872
151,SGC-CBP30,HL60,3.667655
152,SGC0946,HL60,1.874233
153,Sabutoclax,HL60,0.814406
154,Sapitinib,HL60,3.307865
155,Schweinfurthin A,HL60,-1.71815
156,Selumetinib,HL60,0.441364
157,Sepantronium bromide,HL60,-5.547198
158,Serdemetan,HL60,3.580526
159,Sinularin,HL60,3.352685
160,Sorafenib,HL60,0.645929
161,Staurosporine,HL60,-2.354547
162,Talazoparib,HL60,0.970772
163,Tamoxifen,HL60,2.773471
164,Tanespimycin,HL60,-0.02127
165,Taselisib,HL60,1.075933
166,Telomerase Inhibitor IX,HL60,-0.174372
167,Temozolomide,HL60,5.287843
168,Temsirolimus,HL60,0.734264
169,Teniposide,HL60,-1.596655
170,Topotecan,HL60,-1.336943
171,Trametinib,HL60,-3.320319
172,UMI-77,HL60,1.435243
173,UNC0379,HL60,4.588174
174,UNC0638,HL60,2.025077
175,Ulixertinib,HL60,1.306203
176,Uprosertib,HL60,3.358422
177,VE-822,HL60,3.054477
178,VE821,HL60,4.8754
179,Veliparib,HL60,4.110177
180,Venetoclax,HL60,-4.488296
181,Vinblastine,HL60,-6.310347
182,Vincristine,HL60,-4.649077
183,Vinorelbine,HL60,-4.581106
184,Vismodegib,HL60,3.578583
185,Vorinostat,HL60,0.205701
186,WEHI-539,HL60,3.762251
187,WIKI4,HL60,2.307919
188,Wee1 Inhibitor,HL60,0.84796
189,XAV939,HL60,4.349326
190,ZM447439,HL60,-0.106262
191,Zoledronate,HL60,3.148767
192,alpha-lipoic acid,HL60,5.007582
193,glutathione,HL60,8.188005
194,5-Fluorouracil,HEL,2.462663
195,ABT737,HEL,0.727914
196,AGI-5198,HEL,4.37324
197,AGI-6780,HEL,3.053522
198,AGK2,HEL,3.435404
199,AMG-319,HEL,4.372633
200,AT13148,HEL,2.924252
201,AZ6102,HEL,1.741545
202,AZ960,HEL,-0.45043
203,AZD1208,HEL,3.969908
204,AZD1332,HEL,3.827417
205,AZD2014,HEL,1.990833
206,AZD3759,HEL,1.690591
207,AZD4547,HEL,2.660068
208,AZD5153,HEL,-1.579341
209,AZD5363,HEL,4.258594
210,AZD5438,HEL,1.373512
211,AZD5582,HEL,4.464754
212,AZD5991,HEL,4.373228
213,AZD6482,HEL,3.83721
214,AZD6738,HEL,-0.401548
215,AZD7762,HEL,-1.444233
216,AZD8186,HEL,4.372257
217,Acetalax,HEL,5.229914
218,Afatinib,HEL,1.830878
219,Afuresertib,HEL,2.702003
220,Alisertib,HEL,2.270216
221,Alpelisib,HEL,3.426936
222,Avagacestat,HEL,4.044609
223,Axitinib,HEL,2.380458
224,BI-2536,HEL,-2.490341
225,BIBR-1532,HEL,4.341508
226,BMS-345541,HEL,1.703818
227,BX795,HEL,2.011093
228,Bicalutamide,HEL,4.373083
229,Bortezomib,HEL,-5.526198
230,Bosutinib,HEL,1.223188
231,Bromosporine,HEL,1.232807
232,Buparlisib,HEL,1.076224
233,CCT-018159,HEL,2.639738
234,CHIR-99021,HEL,1.043535
235,CZC24832,HEL,4.457007
236,Camptothecin,HEL,-3.978419
237,Carmustine,HEL,4.675045
238,Cediranib,HEL,1.947726
239,Crizotinib,HEL,1.63062
240,Dabrafenib,HEL,3.765882
241,Dacarbazine,HEL,4.485565
242,Dactolisib,HEL,-2.54546
243,Daporinad,HEL,-5.692192
244,Dasatinib,HEL,2.165652
245,Dihydrorotenone,HEL,2.003986
246,Docetaxel,HEL,-2.894219
247,Doramapimod,HEL,2.989417
248,EHT-1864,HEL,2.898275
249,EPZ004777,HEL,3.648165
250,EPZ5676,HEL,4.556531
251,Elephantin,HEL,2.249668
252,Elesclomol,HEL,-3.873658
253,Entinostat,HEL,0.481834
254,Entospletinib,HEL,2.510442
255,Epirubicin,HEL,-1.974206
256,Erlotinib,HEL,2.832938
257,Foretinib,HEL,2.901355
258,Fulvestrant,HEL,2.61263
259,GNE-317,HEL,1.206981
260,GSK-LSD1,HEL,-1.014576
261,GSK1904529A,HEL,4.18719
262,GSK2110183B,HEL,3.164307
263,GSK2578215A,HEL,3.7717
264,GSK2606414,HEL,2.635478
265,GSK269962A,HEL,2.759768
266,GSK2801,HEL,4.201838
267,GSK591,HEL,2.624115
268,GW441756,HEL,2.751303
269,Gallibiscoquinazole,HEL,2.008598
270,Gefitinib,HEL,2.442367
271,Gemcitabine,HEL,-4.820891
272,I-BET-762,HEL,1.439985
273,I-BRD9,HEL,2.473141
274,IOX2,HEL,1.277448
275,IWP-2,HEL,2.290308
276,Ibrutinib,HEL,3.803914
277,Ipatasertib,HEL,3.972406
278,Irinotecan,HEL,1.118997
279,JNK Inhibitor VIII,HEL,3.199606
280,JQ1,HEL,-0.718532
281,KRAS (G12C) Inhibitor-12,HEL,3.869663
282,KU-55933,HEL,4.139366
283,L-Oxonoreleagnine,HEL,1.962914
284,LCL161,HEL,4.511036
285,LGK974,HEL,3.820743
286,LJI308,HEL,4.167601
287,LY2109761,HEL,3.744833
288,Lapatinib,HEL,2.532252
289,Leflunomide,HEL,3.650549
290,Lenalidomide,HEL,4.367074
291,Lestaurtinib,HEL,-0.851305
292,Linsitinib,HEL,3.230307
293,MG-132,HEL,-1.846089
294,MIRA-1,HEL,3.277142
295,MK-1775,HEL,-1.025868
296,MK-2206,HEL,3.271386
297,MK-8776,HEL,0.553272
298,ML323,HEL,3.72267
299,MN-64,HEL,2.697512
300,Methotrexate,HEL,-2.372109
301,Mitoxantrone,HEL,-1.480227
302,Motesanib,HEL,4.093971
303,NU7441,HEL,1.688381
304,NVP-ADW742,HEL,3.816078
305,Navitoclax,HEL,-0.098989
306,Nelarabine,HEL,3.647548
307,Nilotinib,HEL,3.046639
308,Niraparib,HEL,1.954565
309,Nutlin-3a (-),HEL,4.287108
310,OF-1,HEL,4.031677
311,OSI-027,HEL,1.843611
312,OTX015,HEL,-0.090018
313,Obatoclax Mesylate,HEL,1.18841
314,Olaparib,HEL,3.503609
315,Osimertinib,HEL,1.743062
316,Oxaliplatin,HEL,2.097369
317,P22077,HEL,1.974511
318,PCI-34051,HEL,2.604943
319,PD0325901,HEL,2.94561
320,PD173074,HEL,2.836276
321,PF-4708671,HEL,2.541509
322,PFI-1,HEL,2.288104
323,PFI3,HEL,4.011434
324,PLX-4720,HEL,3.103018
325,PRIMA-1MET,HEL,2.840747
326,Paclitaxel,HEL,-2.214539
327,Palbociclib,HEL,1.188299
328,Picolinici-acid,HEL,4.305891
329,Pictilisib,HEL,1.988692
330,Piperlongumine,HEL,1.168082
331,Podophyllotoxin bromide,HEL,-1.467516
332,Pyridostatin,HEL,4.373158
333,RO-3306,HEL,1.500782
334,RVX-208,HEL,4.288528
335,Rapamycin,HEL,-1.231258
336,Romidepsin,HEL,-5.02797
337,Rucaparib,HEL,3.221512
338,Ruxolitinib,HEL,1.434941
339,SB216763,HEL,2.228604
340,SB590885,HEL,3.544834
341,SCH772984,HEL,3.395692
342,SGC-CBP30,HEL,3.113634
343,SGC0946,HEL,1.168598
344,SL0101,HEL,3.070563
345,Sabutoclax,HEL,-1.540775
346,Sapitinib,HEL,3.910589
347,Schweinfurthin A,HEL,-1.57222
348,Selumetinib,HEL,4.37794
349,Sepantronium bromide,HEL,-1.83873
350,Serdemetan,HEL,2.50108
351,Sinularin,HEL,2.954225
352,Sorafenib,HEL,1.859532
353,Staurosporine,HEL,-3.532707
354,Talazoparib,HEL,0.547618
355,Tamoxifen,HEL,4.306699
356,Tanespimycin,HEL,0.217353
357,Taselisib,HEL,4.241866
358,Telomerase Inhibitor IX,HEL,0.007884
359,Temozolomide,HEL,4.056126
360,Temsirolimus,HEL,0.472727
361,Teniposide,HEL,-1.205994
362,Topotecan,HEL,-1.103777
363,Tozasertib,HEL,1.441849
364,Trametinib,HEL,1.549934
365,Tretinoin,HEL,3.764337
366,Ulixertinib,HEL,3.630857
367,Uprosertib,HEL,3.792156
368,VE-822,HEL,-0.014849
369,VE821,HEL,0.905257
370,Veliparib,HEL,4.214052
371,Venetoclax,HEL,2.791771
372,Vincristine,HEL,-1.987847
373,Vinorelbine,HEL,-2.338475
374,Vismodegib,HEL,3.815731
375,Vorinostat,HEL,-0.043489
376,WEHI-539,HEL,0.162486
377,WIKI4,HEL,3.705608
378,Wee1 Inhibitor,HEL,0.035601
379,XAV939,HEL,3.142521
380,ZM447439,HEL,2.134254
381,Zoledronate,HEL,2.616975
382,5-Fluorouracil,MONOMAC6,0.072576
383,5-azacytidine,MONOMAC6,-0.026691
384,A-366,MONOMAC6,2.943793
385,ABT737,MONOMAC6,-0.383812
386,AGI-5198,MONOMAC6,3.6054
387,AGK2,MONOMAC6,1.891061
388,AMG-319,MONOMAC6,3.168427
389,AT13148,MONOMAC6,2.515083
390,AZ6102,MONOMAC6,1.096492
391,AZD3759,MONOMAC6,2.26116
392,AZD4547,MONOMAC6,0.93736
393,AZD5363,MONOMAC6,0.668029
394,AZD6738,MONOMAC6,0.37761
395,AZD7762,MONOMAC6,-5.224524
396,AZD8055,MONOMAC6,-0.519294
397,AZD8186,MONOMAC6,0.329936
398,Afatinib,MONOMAC6,0.410422
399,Afuresertib,MONOMAC6,-0.969202
400,Alisertib,MONOMAC6,1.402632
401,Alpelisib,MONOMAC6,3.08351
402,Avagacestat,MONOMAC6,3.139284
403,Axitinib,MONOMAC6,1.635504
404,BI-2536,MONOMAC6,-4.694406
405,BIBR-1532,MONOMAC6,3.771469
406,Bleomycin (50 uM),MONOMAC6,4.258549
407,Bortezomib,MONOMAC6,-5.692622
408,Bosutinib,MONOMAC6,-0.189497
409,Buparlisib,MONOMAC6,-0.259172
410,CPI-637,MONOMAC6,1.387387
411,Camptothecin,MONOMAC6,-3.878581
412,Cediranib,MONOMAC6,0.724321
413,Cisplatin,MONOMAC6,1.057342
414,Crizotinib,MONOMAC6,0.863304
415,Cytarabine,MONOMAC6,1.6038
416,Dabrafenib,MONOMAC6,1.593584
417,Dactolisib,MONOMAC6,-3.14532
418,Daporinad,MONOMAC6,-6.360406
419,Dasatinib,MONOMAC6,0.601436
420,Docetaxel,MONOMAC6,-5.362865
421,Doramapimod,MONOMAC6,3.319389
422,EHT-1864,MONOMAC6,2.119919
423,EPZ004777,MONOMAC6,3.643607
424,EPZ5676,MONOMAC6,3.383985
425,Epirubicin,MONOMAC6,-1.279449
426,Erlotinib,MONOMAC6,1.927682
427,Foretinib,MONOMAC6,-5.432385
428,Fulvestrant,MONOMAC6,1.171788
429,GNE-317,MONOMAC6,-0.384044
430,GSK1904529A,MONOMAC6,3.361578
431,GSK2578215A,MONOMAC6,3.959929
432,GSK2830371,MONOMAC6,3.840053
433,GSK591,MONOMAC6,3.8941
434,GW441756,MONOMAC6,1.51788
435,Gefitinib,MONOMAC6,1.772904
436,Gemcitabine,MONOMAC6,-4.843396
437,I-BRD9,MONOMAC6,1.345108
438,ICL-SIRT078,MONOMAC6,2.162168
439,Ipatasertib,MONOMAC6,0.422304
440,Irinotecan,MONOMAC6,0.09869
441,JNK Inhibitor VIII,MONOMAC6,4.696689
442,JQ1,MONOMAC6,-1.728477
443,KU-55933,MONOMAC6,3.387302
444,LGK974,MONOMAC6,2.712634
445,LJI308,MONOMAC6,3.392309
446,Lapatinib,MONOMAC6,2.895672
447,Lenalidomide,MONOMAC6,3.754978
448,Lestaurtinib,MONOMAC6,-4.419524
449,Linsitinib,MONOMAC6,3.131902
450,MG-132,MONOMAC6,-2.050918
451,MIM1,MONOMAC6,3.957696
452,MIRA-1,MONOMAC6,3.90638
453,MK-1775,MONOMAC6,-1.030491
454,MK-2206,MONOMAC6,0.212378
455,MK-8776,MONOMAC6,-0.148302
456,Methotrexate,MONOMAC6,-4.703608
457,Motesanib,MONOMAC6,4.225031
458,Mycophenolic acid,MONOMAC6,1.003588
459,N-acetyl cysteine,MONOMAC6,9.400527
460,NU7441,MONOMAC6,1.289203
461,NVP-ADW742,MONOMAC6,0.556723
462,Navitoclax,MONOMAC6,1.415579
463,Nilotinib,MONOMAC6,1.801977
464,Nutlin-3a (-),MONOMAC6,4.336738
465,OSI-027,MONOMAC6,1.119575
466,Obatoclax Mesylate,MONOMAC6,-0.9275
467,Olaparib,MONOMAC6,3.170312
468,Osimertinib,MONOMAC6,0.550132
469,Oxaliplatin,MONOMAC6,1.637134
470,P22077,MONOMAC6,0.986203
471,PD0325901,MONOMAC6,0.066447
472,PD173074,MONOMAC6,2.519559
473,PFI-1,MONOMAC6,1.465349
474,PLX-4720,MONOMAC6,0.4971
475,POMHEX,MONOMAC6,-0.161213
476,Paclitaxel,MONOMAC6,-5.82445
477,Palbociclib,MONOMAC6,1.859921
478,Pictilisib,MONOMAC6,-0.349823
479,Pyridostatin,MONOMAC6,2.796411
480,RO-3306,MONOMAC6,2.053315
481,Rapamycin,MONOMAC6,-3.108759
482,Rucaparib,MONOMAC6,2.372484
483,SB216763,MONOMAC6,4.602899
484,SB590885,MONOMAC6,4.086722
485,SCH772984,MONOMAC6,1.356441
486,SGC0946,MONOMAC6,1.478139
487,Sapitinib,MONOMAC6,3.48152
488,Selumetinib,MONOMAC6,1.823184
489,Sepantronium bromide,MONOMAC6,-4.214986
490,Serdemetan,MONOMAC6,1.89959
491,Sorafenib,MONOMAC6,-4.572455
492,Staurosporine,MONOMAC6,-5.909916
493,TW 37,MONOMAC6,0.312281
494,Talazoparib,MONOMAC6,0.707492
495,Tamoxifen,MONOMAC6,1.862034
496,Tanespimycin,MONOMAC6,-1.510369
497,Taselisib,MONOMAC6,-0.266481
498,Telomerase Inhibitor IX,MONOMAC6,-0.722456
499,Temozolomide,MONOMAC6,3.176285
500,Temsirolimus,MONOMAC6,-0.181792
501,Trametinib,MONOMAC6,-1.376072
502,UMI-77,MONOMAC6,1.620338
503,UNC0379,MONOMAC6,1.334856
504,UNC0638,MONOMAC6,1.883743
505,Ulixertinib,MONOMAC6,1.703154
506,Uprosertib,MONOMAC6,1.111944
507,VE821,MONOMAC6,2.003538
508,Veliparib,MONOMAC6,3.977152
509,Venetoclax,MONOMAC6,0.578429
510,Vinblastine,MONOMAC6,-6.359207
511,Vinorelbine,MONOMAC6,-4.617505
512,Vismodegib,MONOMAC6,4.084193
513,Vorinostat,MONOMAC6,0.087911
514,WEHI-539,MONOMAC6,2.517096
515,WIKI4,MONOMAC6,4.778531
516,Wee1 Inhibitor,MONOMAC6,-0.52499
517,ZM447439,MONOMAC6,0.962118
518,alpha-lipoic acid,MONOMAC6,6.211133
519,glutathione,MONOMAC6,8.923178
520,5-Fluorouracil,LS513,1.742438
521,5-azacytidine,LS513,3.380988
522,A-366,LS513,3.638545
523,AGI-6780,LS513,4.47839
524,AGK2,LS513,2.611247
525,AT13148,LS513,4.4434
526,AZ6102,LS513,0.798365
527,AZ960,LS513,2.629074
528,AZD1208,LS513,3.668332
529,AZD1332,LS513,4.486385
530,AZD2014,LS513,1.281718
531,AZD3759,LS513,1.446812
532,AZD4547,LS513,3.99813
533,AZD5153,LS513,2.064885
534,AZD5438,LS513,0.993794
535,AZD5582,LS513,4.829677
536,AZD5991,LS513,6.149584
537,AZD7762,LS513,0.715533
538,AZD8055,LS513,-0.138152
539,Acetalax,LS513,5.590222
540,Afatinib,LS513,-0.259734
541,Alisertib,LS513,0.25052
542,Alpelisib,LS513,3.180765
543,Avagacestat,LS513,4.887107
544,Axitinib,LS513,2.513083
545,BI-2536,LS513,-0.877715
546,BMS-345541,LS513,2.135081
547,Bleomycin (50 uM),LS513,1.510962
548,Bosutinib,LS513,3.329184
549,Bromosporine,LS513,1.947817
550,CPI-637,LS513,5.611521
551,CZC24832,LS513,4.956259
552,Camptothecin,LS513,-3.160246
553,Carmustine,LS513,6.951097
554,Cisplatin,LS513,2.919147
555,Crizotinib,LS513,1.277685
556,Dabrafenib,LS513,4.404782
557,Dacarbazine,LS513,6.567301
558,Daporinad,LS513,-3.855835
559,Dasatinib,LS513,2.264065
560,Dihydrorotenone,LS513,2.075017
561,Docetaxel,LS513,-3.711243
562,Doramapimod,LS513,5.35352
563,EHT-1864,LS513,3.170517
564,EPZ004777,LS513,5.859496
565,EPZ5676,LS513,5.133465
566,Elephantin,LS513,1.96435
567,Entinostat,LS513,1.350856
568,Entospletinib,LS513,4.500123
569,Fulvestrant,LS513,6.0177
570,GSK-LSD1,LS513,1.683692
571,GSK1904529A,LS513,4.405936
572,GSK2110183B,LS513,1.405565
573,GSK2606414,LS513,3.552131
574,GSK2801,LS513,5.172107
575,GSK2830371,LS513,5.658243
576,GSK591,LS513,4.441317
577,GW441756,LS513,3.981601
578,Gallibiscoquinazole,LS513,3.494294
579,Gemcitabine,LS513,-3.243612
580,I-BET-762,LS513,3.169127
581,IWP-2,LS513,3.441628
582,Ibrutinib,LS513,4.813731
583,Irinotecan,LS513,1.813011
584,JNK Inhibitor VIII,LS513,5.540519
585,JQ1,LS513,1.464482
586,KRAS (G12C) Inhibitor-12,LS513,4.124174
587,KU-55933,LS513,5.775309
588,L-Oxonoreleagnine,LS513,4.146112
589,LCL161,LS513,5.528602
590,LGK974,LS513,4.447995
591,LJI308,LS513,4.729262
592,LY2109761,LS513,4.92314
593,Lapatinib,LS513,1.37076
594,Leflunomide,LS513,5.065966
595,Lenalidomide,LS513,5.504545
596,Lestaurtinib,LS513,0.024441
597,Linsitinib,LS513,1.593206
598,MG-132,LS513,-1.429434
599,MIRA-1,LS513,4.312625
600,MK-1775,LS513,-0.595952
601,MK-2206,LS513,0.824578
602,ML323,LS513,4.24133
603,MN-64,LS513,5.071992
604,Methotrexate,LS513,-0.864728
605,Mitoxantrone,LS513,0.384495
606,Motesanib,LS513,5.775309
607,Mycophenolic acid,LS513,0.645459
608,N-acetyl cysteine,LS513,8.988045
609,NU7441,LS513,3.189255
610,Navitoclax,LS513,2.150489
611,Nelarabine,LS513,6.796692
612,Niraparib,LS513,3.769896
613,Nutlin-3a (-),LS513,1.406242
614,OF-1,LS513,4.4166
615,OSI-027,LS513,4.801549
616,OTX015,LS513,2.015937
617,Obatoclax Mesylate,LS513,0.521782
618,Olaparib,LS513,3.813458
619,Oxaliplatin,LS513,1.776041
620,PCI-34051,LS513,3.487065
621,PD0325901,LS513,-3.224086
622,PD173074,LS513,3.514301
623,PFI-1,LS513,4.402877
624,PFI3,LS513,5.737934
625,PLX-4720,LS513,5.060211
626,POMHEX,LS513,0.590036
627,PRIMA-1MET,LS513,3.392785
628,Palbociclib,LS513,1.209893
629,Picolinici-acid,LS513,4.748499
630,Pictilisib,LS513,0.296864
631,Podophyllotoxin bromide,LS513,-1.023477
632,RO-3306,LS513,2.570261
633,RVX-208,LS513,5.333803
634,Rapamycin,LS513,-1.05794
635,Romidepsin,LS513,-4.322347
636,Rucaparib,LS513,3.004406
637,Ruxolitinib,LS513,5.222221
638,SB216763,LS513,3.048123
639,SB590885,LS513,3.307989
640,SCH772984,LS513,0.024482
641,SGC-CBP30,LS513,4.708829
642,SGC0946,LS513,1.776863
643,Sabutoclax,LS513,-0.200939
644,Sapitinib,LS513,1.634124
645,Schweinfurthin A,LS513,3.308318
646,Selumetinib,LS513,-0.11144
647,Serdemetan,LS513,3.282957
648,Sinularin,LS513,2.589297
649,Staurosporine,LS513,-2.235196
650,TW 37,LS513,4.467028
651,Tanespimycin,LS513,-1.886624
652,Taselisib,LS513,0.327674
653,Temozolomide,LS513,7.248506
654,Temsirolimus,LS513,0.224156
655,Teniposide,LS513,1.352384
656,Topotecan,LS513,0.179324
657,Trametinib,LS513,-5.07196
658,UNC0379,LS513,2.50628
659,UNC0638,LS513,4.474052
660,Uprosertib,LS513,1.288134
661,VE-822,LS513,1.942905
662,VE821,LS513,2.798011
663,Veliparib,LS513,5.030822
664,Vincristine,LS513,-1.685101
665,Vinorelbine,LS513,-3.521728
666,Vismodegib,LS513,4.616114
667,WEHI-539,LS513,3.719036
668,XAV939,LS513,4.566113
669,ZM447439,LS513,1.744665
670,Zoledronate,LS513,4.536145
671,alpha-lipoic acid,LS513,7.90602
672,glutathione,LS513,8.468905
673,5-Fluorouracil,A101D,3.945825
674,5-azacytidine,A101D,1.198543
675,A-366,A101D,5.475173
676,ABT737,A101D,0.474327
677,AGI-5198,A101D,5.528712
678,AGI-6780,A101D,4.501571
679,AGK2,A101D,4.176421
680,AMG-319,A101D,3.48855
681,AT13148,A101D,3.01253
682,AZ6102,A101D,1.301374
683,AZ960,A101D,1.863709
684,AZD1208,A101D,4.76108
685,AZD1332,A101D,3.201106
686,AZD2014,A101D,0.632457
687,AZD3759,A101D,2.991665
688,AZD4547,A101D,3.315949
689,AZD5153,A101D,0.408255
690,AZD5363,A101D,1.810588
691,AZD5438,A101D,1.296108
692,AZD5582,A101D,-4.857478
693,AZD5991,A101D,4.140862
694,AZD6738,A101D,1.003643
695,AZD7762,A101D,0.300596
696,AZD8055,A101D,-1.27046
697,AZD8186,A101D,1.907486
698,Acetalax,A101D,7.083142
699,Afatinib,A101D,1.566515
700,Afuresertib,A101D,2.311981
701,Alisertib,A101D,1.283772
702,Alpelisib,A101D,4.226877
703,Avagacestat,A101D,4.064976
704,Axitinib,A101D,4.658258
705,BI-2536,A101D,-1.946281
706,BIBR-1532,A101D,4.784777
707,BMS-345541,A101D,4.974567
708,Bleomycin (50 uM),A101D,2.454798
709,Bortezomib,A101D,-6.884155
710,Bosutinib,A101D,3.215838
711,Bromosporine,A101D,2.010181
712,Buparlisib,A101D,0.294596
713,CPI-637,A101D,4.177282
714,CZC24832,A101D,4.688979
715,Camptothecin,A101D,-2.762168
716,Carmustine,A101D,6.005621
717,Cediranib,A101D,2.154311
718,Cisplatin,A101D,1.37653
719,Crizotinib,A101D,2.45638
720,Cytarabine,A101D,0.560338
721,Dabrafenib,A101D,-1.036739
722,Dacarbazine,A101D,6.538847
723,Dactolisib,A101D,-3.345471
724,Dasatinib,A101D,1.832577
725,Dihydrorotenone,A101D,1.789078
726,Docetaxel,A101D,-4.384575
727,Doramapimod,A101D,5.856646
728,EHT-1864,A101D,4.342398
729,EPZ004777,A101D,4.620337
730,EPZ5676,A101D,5.599818
731,Elephantin,A101D,2.476098
732,Entinostat,A101D,1.364011
733,Entospletinib,A101D,3.068
734,Epirubicin,A101D,-2.126764
735,Erlotinib,A101D,2.081909
736,Foretinib,A101D,0.441549
737,Fulvestrant,A101D,4.57441
738,GNE-317,A101D,-0.016563
